wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1,0.0396,220737.0,279342.0,0.7902034065768843
1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1,0.0382,198881.0,251568.0,0.7905655727278509
2,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0389,265058.0,299654.0,0.8845468440267775
3,experiment,experiment,SDS,TTAB,4.821250571423044,0.2213676087762045,SDS_stock,50.0,19.285002285692176,TTAB_dilution_1,0.7000000000000001,63.247888221772705,117.46710949253512,0.0,,5,1,0.0401,143675.0,160669.0,0.8942297518500769
4,experiment,experiment,SDS,TTAB,4.821250571423044,0.39445514889283,SDS_stock,50.0,19.285002285692176,TTAB_dilution_0,5.0,15.7782059557132,164.9367917585946,0.0,,5,1,0.092,113392.0,130338.0,0.8699841949393117
5,experiment,experiment,SDS,TTAB,4.821250571423044,0.7028799983351045,SDS_stock,50.0,19.285002285692176,TTAB_dilution_0,5.0,28.11519993340418,152.59979778090366,0.0,,5,1,0.1476,79469.0,92939.0,0.8550662262344119
6,experiment,experiment,SDS,TTAB,4.821250571423044,1.2524625257047484,SDS_stock,50.0,19.285002285692176,TTAB_dilution_0,5.0,50.098501028189936,130.6164966861179,0.0,,5,1,0.181,55747.0,68860.0,0.8095701423177462
7,experiment,experiment,SDS,TTAB,4.821250571423044,2.2317641446767182,SDS_stock,50.0,19.285002285692176,TTAB_dilution_0,5.0,89.27056578706873,91.4444319272391,0.0,,5,1,0.4112,30732.0,37708.0,0.8149994696085712
8,experiment,experiment,SDS,TTAB,4.821250571423044,3.976782614443472,SDS_stock,50.0,19.285002285692176,TTAB_stock,50.0,15.907130457773887,164.80786725653394,0.0,,5,1,0.9545,32735.0,39610.0,0.8264327190103509
9,experiment,experiment,SDS,TTAB,4.821250571423044,7.0862326560187245,SDS_stock,50.0,19.285002285692176,TTAB_stock,50.0,28.3449306240749,152.3700670902329,0.0,,5,1,1.0211,16844.0,19503.0,0.8636620007178383
