wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate
0,control,surfactant_A_stock,SDS,DTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1
1,control,surfactant_B_stock,SDS,DTAB,,50.0,,,0.0,DTAB_stock,50.0,200.0,0.0,0.0,,5,1
2,control,water_blank,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
3,control,cmc_SDS_1,SDS,DTAB,2.8666666666666667,,SDS_dilution_1,4.0,143.33333333333334,,,0.0,56.66666666666666,0.0,,5,1
4,control,cmc_SDS_2,SDS,DTAB,4.635725860128543,,SDS_dilution_0,10.0,92.71451720257087,,,0.0,107.28548279742913,0.0,,5,1
5,control,cmc_SDS_3,SDS,DTAB,6.534586896603694,,SDS_dilution_0,10.0,130.6917379320739,,,0.0,69.30826206792611,0.0,,5,1
6,control,cmc_SDS_4,SDS,DTAB,8.02931271970357,,SDS_dilution_0,10.0,160.58625439407143,,,0.0,39.41374560592857,0.0,,5,1
7,control,cmc_SDS_5,SDS,DTAB,9.211249154427064,,SDS_dilution_0,10.0,184.22498308854125,,,0.0,15.77501691145875,0.0,,5,1
8,control,cmc_SDS_6,SDS,DTAB,11.318236511391435,,SDS_stock,50.0,45.27294604556574,,,0.0,154.72705395443427,0.0,,5,1
9,control,cmc_SDS_7,SDS,DTAB,15.954351536643529,,SDS_stock,50.0,63.817406146574115,,,0.0,136.18259385342589,0.0,,5,1
10,control,cmc_SDS_8,SDS,DTAB,25.799999999999994,,SDS_stock,50.0,103.19999999999999,,,0.0,96.80000000000001,0.0,,5,1
11,control,cmc_DTAB_1,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
12,control,cmc_DTAB_2,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
13,control,cmc_DTAB_3,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
14,control,cmc_DTAB_4,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
15,control,cmc_DTAB_5,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
16,control,cmc_DTAB_6,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
17,control,cmc_DTAB_7,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
18,control,cmc_DTAB_8,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
19,experiment,experiment,SDS,DTAB,0.01,0.01,SDS_dilution_5,0.1,20.0,DTAB_dilution_5,0.1,20.0,160.0,0.0,,5,1
20,experiment,experiment,SDS,DTAB,0.01,0.06887246539984299,SDS_dilution_5,0.1,20.0,DTAB_dilution_3,0.7000000000000001,19.677847257097994,160.322152742902,0.0,,5,1
21,experiment,experiment,SDS,DTAB,0.01,0.474341649025257,SDS_dilution_5,0.1,20.0,DTAB_dilution_1,4.0,23.71708245126285,156.28291754873715,0.0,,5,1
22,experiment,experiment,SDS,DTAB,0.01,3.266907881019648,SDS_dilution_5,0.1,20.0,DTAB_stock,50.0,13.067631524078593,166.9323684759214,0.0,,5,1
23,experiment,experiment,SDS,DTAB,0.01,22.5,SDS_dilution_5,0.1,20.0,DTAB_stock,50.0,90.0,90.0,0.0,,5,1
24,experiment,experiment,SDS,DTAB,0.06887246539984299,0.01,SDS_dilution_4,0.30000000000000004,45.91497693322865,DTAB_dilution_5,0.1,20.0,134.08502306677136,0.0,,5,1
25,experiment,experiment,SDS,DTAB,0.06887246539984299,0.06887246539984299,SDS_dilution_4,0.30000000000000004,45.91497693322865,DTAB_dilution_3,0.7000000000000001,19.677847257097994,134.40717580967336,0.0,,5,1
26,experiment,experiment,SDS,DTAB,0.06887246539984299,0.474341649025257,SDS_dilution_4,0.30000000000000004,45.91497693322865,DTAB_dilution_1,4.0,23.71708245126285,130.3679406155085,0.0,,5,1
27,experiment,experiment,SDS,DTAB,0.06887246539984299,3.266907881019648,SDS_dilution_4,0.30000000000000004,45.91497693322865,DTAB_stock,50.0,13.067631524078593,141.01739154269276,0.0,,5,1
28,experiment,experiment,SDS,DTAB,0.06887246539984299,22.5,SDS_dilution_4,0.30000000000000004,45.91497693322865,DTAB_stock,50.0,90.0,64.08502306677136,0.0,,5,1
29,experiment,experiment,SDS,DTAB,0.474341649025257,0.01,SDS_dilution_2,1.5,63.2455532033676,DTAB_dilution_5,0.1,20.0,116.75444679663241,0.0,,5,1
30,experiment,experiment,SDS,DTAB,0.474341649025257,0.06887246539984299,SDS_dilution_2,1.5,63.2455532033676,DTAB_dilution_3,0.7000000000000001,19.677847257097994,117.07659953953441,0.0,,5,1
