wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
0,control,surfactant_A_stock,SDS,DTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1,0.0394,266561.0,351763.0,0.7577857819042935
1,control,surfactant_B_stock,SDS,DTAB,,50.0,,,0.0,DTAB_stock,50.0,200.0,0.0,0.0,,5,1,0.0385,203640.0,260547.0,0.7815864316227015
2,control,water_blank,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0396,312660.0,368886.0,0.8475789268229209
3,control,cmc_SDS_1,SDS,DTAB,2.8666666666666667,,SDS_dilution_1,4.0,143.33333333333334,,,0.0,56.66666666666666,0.0,,5,1,0.0392,256968.0,302391.0,0.8497871960475014
4,control,cmc_SDS_2,SDS,DTAB,4.635725860128543,,SDS_dilution_0,10.0,92.71451720257087,,,0.0,107.28548279742913,0.0,,5,1,0.0389,236374.0,275879.0,0.8568031637058275
5,control,cmc_SDS_3,SDS,DTAB,6.534586896603694,,SDS_dilution_0,10.0,130.6917379320739,,,0.0,69.30826206792611,0.0,,5,1,0.038,236763.0,278039.0,0.8515460061358299
6,control,cmc_SDS_4,SDS,DTAB,8.02931271970357,,SDS_dilution_0,10.0,160.58625439407143,,,0.0,39.41374560592857,0.0,,5,1,0.0388,253862.0,307512.0,0.8255352636645074
7,control,cmc_SDS_5,SDS,DTAB,9.211249154427064,,SDS_dilution_0,10.0,184.22498308854125,,,0.0,15.77501691145875,0.0,,5,1,0.0383,257363.0,324080.0,0.7941341644038509
8,control,cmc_SDS_6,SDS,DTAB,11.318236511391435,,SDS_stock,50.0,45.27294604556574,,,0.0,154.72705395443427,0.0,,5,1,0.038,279419.0,364543.0,0.7664911958260068
9,control,cmc_SDS_7,SDS,DTAB,15.954351536643529,,SDS_stock,50.0,63.817406146574115,,,0.0,136.18259385342589,0.0,,5,1,0.0376,277155.0,367235.0,0.7547074761392569
10,control,cmc_SDS_8,SDS,DTAB,25.799999999999994,,SDS_stock,50.0,103.19999999999999,,,0.0,96.80000000000001,0.0,,5,1,0.0388,288956.0,383655.0,0.7531662561415855
11,control,cmc_DTAB_1,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0374,339363.0,394432.0,0.8603840459191952
12,control,cmc_DTAB_2,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0386,318666.0,369730.0,0.8618884050523354
13,control,cmc_DTAB_3,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0376,323040.0,377960.0,0.8546936183723145
14,control,cmc_DTAB_4,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0374,346578.0,401167.0,0.863924500270461
15,control,cmc_DTAB_5,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.038,331017.0,382692.0,0.8649697406791885
16,control,cmc_DTAB_6,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0378,324425.0,375020.0,0.8650871953495813
17,control,cmc_DTAB_7,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0373,331906.0,382380.0,0.8680004184319263
18,control,cmc_DTAB_8,SDS,DTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.037,335962.0,386491.0,0.8692621561692252
19,experiment,experiment,SDS,DTAB,0.01,0.01,SDS_dilution_5,0.1,20.0,DTAB_dilution_5,0.1,20.0,160.0,0.0,,5,1,0.0379,267167.0,307072.0,0.870046764276782
20,experiment,experiment,SDS,DTAB,0.01,0.06887246539984299,SDS_dilution_5,0.1,20.0,DTAB_dilution_3,0.7000000000000001,19.677847257097994,160.322152742902,0.0,,5,1,0.039,221672.0,251535.0,0.8812769594688612
21,experiment,experiment,SDS,DTAB,0.01,0.474341649025257,SDS_dilution_5,0.1,20.0,DTAB_dilution_1,4.0,23.71708245126285,156.28291754873715,0.0,,5,1,0.0389,166922.0,186425.0,0.8953842027625051
22,experiment,experiment,SDS,DTAB,0.01,3.266907881019648,SDS_dilution_5,0.1,20.0,DTAB_stock,50.0,13.067631524078593,166.9323684759214,0.0,,5,1,0.0378,278013.0,316696.0,0.8778544724278172
23,experiment,experiment,SDS,DTAB,0.01,22.5,SDS_dilution_5,0.1,20.0,DTAB_stock,50.0,90.0,90.0,0.0,,5,1,0.0391,170604.0,188537.0,0.9048833915889188
