well,well_position,plate,surfactant_a,surfactant_b,conc_a_mm,conc_b_mm,replicate,is_control,control_type
0,A1,1,unknown,unknown,,,1,False,unknown
1,A2,1,unknown,unknown,,,1,False,unknown
2,A3,1,unknown,unknown,,,1,False,unknown
3,A4,1,unknown,unknown,,,1,False,unknown
4,A5,1,unknown,unknown,,,1,False,unknown
5,A6,1,unknown,unknown,,,1,False,unknown
6,A7,1,unknown,unknown,,,1,False,unknown
7,A8,1,unknown,unknown,,,1,False,unknown
8,A9,1,unknown,unknown,,,1,False,unknown
9,A10,1,unknown,unknown,,,1,False,unknown
10,A11,1,unknown,unknown,,,1,False,unknown
11,A12,1,unknown,unknown,,,1,False,unknown
12,B1,1,unknown,unknown,,,1,False,unknown
13,B2,1,unknown,unknown,,,1,False,unknown
14,B3,1,unknown,unknown,,,1,False,unknown
15,B4,1,unknown,unknown,,,1,False,unknown
16,B5,1,unknown,unknown,,,1,False,unknown
17,B6,1,unknown,unknown,,,1,False,unknown
18,B7,1,unknown,unknown,,,1,False,unknown
19,B8,1,unknown,unknown,,,1,False,unknown
20,B9,1,unknown,unknown,,,1,False,unknown
21,B10,1,unknown,unknown,,,1,False,unknown
22,B11,1,unknown,unknown,,,1,False,unknown
23,B12,1,unknown,unknown,,,1,False,unknown
24,C1,1,unknown,unknown,,,1,False,unknown
25,C2,1,unknown,unknown,,,1,False,unknown
26,C3,1,unknown,unknown,,,1,False,unknown
27,C4,1,unknown,unknown,,,1,False,unknown
28,C5,1,unknown,unknown,,,1,False,unknown
29,C6,1,unknown,unknown,,,1,False,unknown
30,C7,1,unknown,unknown,,,1,False,unknown
31,C8,1,unknown,unknown,,,1,False,unknown
32,C9,1,unknown,unknown,,,1,False,unknown
33,C10,1,unknown,unknown,,,1,False,unknown
34,C11,1,unknown,unknown,,,1,False,unknown
35,C12,1,unknown,unknown,,,1,False,unknown
36,D1,1,unknown,unknown,,,1,False,unknown
37,D2,1,unknown,unknown,,,1,False,unknown
38,D3,1,unknown,unknown,,,1,False,unknown
39,D4,1,unknown,unknown,,,1,False,unknown
40,D5,1,unknown,unknown,,,1,False,unknown
41,D6,1,unknown,unknown,,,1,False,unknown
42,D7,1,unknown,unknown,,,1,False,unknown
43,D8,1,unknown,unknown,,,1,False,unknown
44,D9,1,unknown,unknown,,,1,False,unknown
45,D10,1,unknown,unknown,,,1,False,unknown
46,D11,1,unknown,unknown,,,1,False,unknown
47,D12,1,unknown,unknown,,,1,False,unknown
48,E1,1,unknown,unknown,,,1,False,unknown
49,E2,1,unknown,unknown,,,1,False,unknown
50,E3,1,unknown,unknown,,,1,False,unknown
51,E4,1,unknown,unknown,,,1,False,unknown
52,E5,1,unknown,unknown,,,1,False,unknown
53,E6,1,unknown,unknown,,,1,False,unknown
54,E7,1,unknown,unknown,,,1,False,unknown
55,E8,1,unknown,unknown,,,1,False,unknown
56,E9,1,unknown,unknown,,,1,False,unknown
57,E10,1,unknown,unknown,,,1,False,unknown
58,E11,1,unknown,unknown,,,1,False,unknown
59,E12,1,unknown,unknown,,,1,False,unknown
60,F1,1,unknown,unknown,,,1,False,unknown
61,F2,1,unknown,unknown,,,1,False,unknown
62,F3,1,unknown,unknown,,,1,False,unknown
63,F4,1,unknown,unknown,,,1,False,unknown
64,F5,1,unknown,unknown,,,1,False,unknown
65,F6,1,unknown,unknown,,,1,False,unknown
66,F7,1,unknown,unknown,,,1,False,unknown
67,F8,1,unknown,unknown,,,1,False,unknown
68,F9,1,unknown,unknown,,,1,False,unknown
69,F10,1,unknown,unknown,,,1,False,unknown
70,F11,1,unknown,unknown,,,1,False,unknown
71,F12,1,unknown,unknown,,,1,False,unknown
72,G1,1,unknown,unknown,,,1,False,unknown
73,G2,1,unknown,unknown,,,1,False,unknown
74,G3,1,unknown,unknown,,,1,False,unknown
75,G4,1,unknown,unknown,,,1,False,unknown
76,G5,1,unknown,unknown,,,1,False,unknown
77,G6,1,unknown,unknown,,,1,False,unknown
78,G7,1,unknown,unknown,,,1,False,unknown
79,G8,1,unknown,unknown,,,1,False,unknown
80,G9,1,unknown,unknown,,,1,False,unknown
81,G10,1,unknown,unknown,,,1,False,unknown
82,G11,1,unknown,unknown,,,1,False,unknown
83,G12,1,unknown,unknown,,,1,False,unknown
84,H1,1,unknown,unknown,,,1,False,unknown
85,H2,1,unknown,unknown,,,1,False,unknown
86,H3,1,unknown,unknown,,,1,False,unknown
87,H4,1,unknown,unknown,,,1,False,unknown
88,H5,1,unknown,unknown,,,1,False,unknown
89,H6,1,unknown,unknown,,,1,False,unknown
90,H7,1,unknown,unknown,,,1,False,unknown
91,H8,1,unknown,unknown,,,1,False,unknown
92,H9,1,unknown,unknown,,,1,False,unknown
93,H10,1,unknown,unknown,,,1,False,unknown
94,H11,1,unknown,unknown,,,1,False,unknown
95,H12,1,unknown,unknown,,,1,False,unknown
