well,well_position,plate,surfactant_a,surfactant_b,conc_a_mm,conc_b_mm,replicate,is_control,control_type,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
0,A1,1,SDS,TTAB,0.0001,0.0001,1,FALSE,sample,0.0409,87489,84321,1.037570712
1,A2,1,SDS,TTAB,0.0001,0.000449501,1,FALSE,sample,0.0377,86111,83303,1.03370827
2,A3,1,SDS,TTAB,0.0001,0.002020516,1,FALSE,sample,0.0394,821771,1019263,0.806240391
3,A4,1,SDS,TTAB,0.0001,0.009082246,1,FALSE,sample,0.0392,336928,400043,0.84222946
4,A5,1,SDS,TTAB,0.0001,0.040824829,1,FALSE,sample,0.0393,715843,885198,0.808681222
5,A6,1,SDS,TTAB,0.0001,0.183508197,1,FALSE,sample,0.0382,1456666,1835665,0.793535858
6,A7,1,SDS,TTAB,0.0001,0.824872001,1,FALSE,sample,0.0423,3893266,4951690,0.786249947
7,A8,1,SDS,TTAB,0.0001,3.707811575,1,FALSE,sample,0.038,255209,293091,0.87075004
8,A9,1,SDS,TTAB,0.0001,16.66666667,1,FALSE,sample,0.0665,1612829,2032416,0.793552599
9,A10,1,SDS,TTAB,0.000449501,0.0001,1,FALSE,sample,0.038,459376,557948,0.823331206
10,A11,1,SDS,TTAB,0.000449501,0.000449501,1,FALSE,sample,0.0385,127777,140937,0.906624946
11,A12,1,SDS,TTAB,0.000449501,0.002020516,1,FALSE,sample,0.0383,265832,346723,0.766698488
12,B1,1,SDS,TTAB,0.000449501,0.009082246,1,FALSE,sample,0.0382,213987,236166,0.906087244
13,B2,1,SDS,TTAB,0.000449501,0.040824829,1,FALSE,sample,0.0389,278539,319611,0.871493785
14,B3,1,SDS,TTAB,0.000449501,0.183508197,1,FALSE,sample,0.0381,252754,286314,0.882786032
15,B4,1,SDS,TTAB,0.000449501,0.824872001,1,FALSE,sample,0.0384,238526,270453,0.881949914
16,B5,1,SDS,TTAB,0.000449501,3.707811575,1,FALSE,sample,0.0386,236815,266944,0.887133631
17,B6,1,SDS,TTAB,0.000449501,16.66666667,1,FALSE,sample,0.0382,228120,258711,0.881756091
18,B7,1,SDS,TTAB,0.002020516,0.0001,1,FALSE,sample,0.0381,205819,233002,0.883335765
19,B8,1,SDS,TTAB,0.002020516,0.000449501,1,FALSE,sample,0.0382,148926,175106,0.85049056
20,B9,1,SDS,TTAB,0.002020516,0.002020516,1,FALSE,sample,0.0385,188479,232970,0.809026913
21,B10,1,SDS,TTAB,0.002020516,0.009082246,1,FALSE,sample,0.0376,304778,347001,0.878320235
22,B11,1,SDS,TTAB,0.002020516,0.040824829,1,FALSE,sample,0.0381,301777,343195,0.879316424
23,B12,1,SDS,TTAB,0.002020516,0.183508197,1,FALSE,sample,0.038,209345,232492,0.900439585
24,C1,1,SDS,TTAB,0.002020516,0.824872001,1,FALSE,sample,0.0387,221662,249005,0.89019096
25,C2,1,SDS,TTAB,0.002020516,3.707811575,1,FALSE,sample,0.0406,224380,254179,0.882763722
26,C3,1,SDS,TTAB,0.002020516,16.66666667,1,FALSE,sample,0.0383,228702,259661,0.880771467
27,C4,1,SDS,TTAB,0.009082246,0.0001,1,FALSE,sample,0.0383,205513,231049,0.88947799
28,C5,1,SDS,TTAB,0.009082246,0.000449501,1,FALSE,sample,0.0386,144517,168383,0.858263601
29,C6,1,SDS,TTAB,0.009082246,0.002020516,1,FALSE,sample,0.0387,249736,324283,0.770117459
30,C7,1,SDS,TTAB,0.009082246,0.009082246,1,FALSE,sample,0.0371,305529,350804,0.870939328
31,C8,1,SDS,TTAB,0.009082246,0.040824829,1,FALSE,sample,0.0377,289423,328091,0.882142454
32,C9,1,SDS,TTAB,0.009082246,0.183508197,1,FALSE,sample,0.0375,256499,290122,0.884107376
33,C10,1,SDS,TTAB,0.009082246,0.824872001,1,FALSE,sample,0.0421,240572,272817,0.881807219
34,C11,1,SDS,TTAB,0.009082246,3.707811575,1,FALSE,sample,0.0409,240626,274269,0.877335754
35,C12,1,SDS,TTAB,0.009082246,16.66666667,1,FALSE,sample,0.0399,234296,265514,0.882424279
36,D1,1,SDS,TTAB,0.040824829,0.0001,1,FALSE,sample,0.0399,197725,217125,0.910650547
37,D2,1,SDS,TTAB,0.040824829,0.000449501,1,FALSE,sample,0.0381,142760,162651,0.877707484
38,D3,1,SDS,TTAB,0.040824829,0.002020516,1,FALSE,sample,0.0382,177820,216532,0.821218111
