,rep1_CMC_Fluorescence_96,rep1_CMC_Fluorescence_96
,334_373,334_384
A1,87489.0,84321.0
A2,86111.0,83303.0
A3,821771.0,1019263.0
A4,336928.0,400043.0
A5,715843.0,885198.0
A6,1456666.0,1835665.0
A7,3893266.0,4951690.0
A8,255209.0,293091.0
A9,1612829.0,2032416.0
A10,459376.0,557948.0
A11,127777.0,140937.0
A12,265832.0,346723.0
B1,213987.0,236166.0
B2,278539.0,319611.0
B3,252754.0,286314.0
B4,238526.0,270453.0
B5,236815.0,266944.0
B6,228120.0,258711.0
B7,205819.0,233002.0
B8,148926.0,175106.0
B9,188479.0,232970.0
B10,304778.0,347001.0
B11,301777.0,343195.0
B12,209345.0,232492.0
C1,221662.0,249005.0
C2,224380.0,254179.0
C3,228702.0,259661.0
C4,205513.0,231049.0
C5,144517.0,168383.0
C6,249736.0,324283.0
C7,305529.0,350804.0
C8,289423.0,328091.0
C9,256499.0,290122.0
C10,240572.0,272817.0
C11,240626.0,274269.0
C12,234296.0,265514.0
D1,197725.0,217125.0
D2,142760.0,162651.0
D3,177820.0,216532.0
D4,301953.0,343240.0
D5,305199.0,348352.0
D6,275612.0,313160.0
D7,238761.0,271352.0
D8,234842.0,271038.0
D9,213964.0,243132.0
D10,202397.0,230921.0
D11,146665.0,165925.0
D12,188348.0,229641.0
E1,270402.0,306461.0
E2,300461.0,344045.0
E3,288296.0,326830.0
E4,239796.0,272716.0
E5,227462.0,258536.0
E6,204960.0,234476.0
E7,171483.0,196034.0
E8,142418.0,165214.0
E9,201123.0,250904.0
E10,305451.0,347787.0
E11,297071.0,337252.0
E12,244827.0,277720.0
F1,254100.0,285046.0
F2,240990.0,274778.0
F3,192053.0,222407.0
F4,100313.0,119278.0
F5,65324.0,76307.0
F6,205279.0,254546.0
F7,270250.0,313889.0
F8,255783.0,293163.0
F9,234328.0,266844.0
F10,180410.0,200756.0
F11,144779.0,163440.0
F12,131446.0,148397.0
G1,66937.0,79061.0
G2,35021.0,43979.0
G3,30451.0,38733.0
G4,241705.0,305105.0
G5,253833.0,325164.0
G6,254139.0,327016.0
G7,275159.0,356091.0
G8,244860.0,310633.0
G9,260291.0,332523.0
G10,242268.0,312123.0
G11,51798.0,69032.0
G12,49912.0,71470.0
H1,301759.0,393713.0
H2,191160.0,238537.0
H3,290971.0,329603.0
H4,66028.0,59564.0
H5,66499.0,60448.0
H6,66827.0,60375.0
H7,66011.0,59539.0
H8,65414.0,58806.0
H9,67414.0,61013.0
H10,66107.0,59823.0
H11,68025.0,61712.0
H12,67937.0,61695.0
