,rep1_CMC_Absorbance_96
,600
A1,0.0409
A2,0.0377
A3,0.0394
A4,0.0392
A5,0.0393
A6,0.0382
A7,0.0423
A8,0.038
A9,0.0665
A10,0.038
A11,0.0385
A12,0.0383
B1,0.0382
B2,0.0389
B3,0.0381
B4,0.0384
B5,0.0386
B6,0.0382
B7,0.0381
B8,0.0382
B9,0.0385
B10,0.0376
B11,0.0381
B12,0.038
C1,0.0387
C2,0.0406
C3,0.0383
C4,0.0383
C5,0.0386
C6,0.0387
C7,0.0371
C8,0.0377
C9,0.0375
C10,0.0421
C11,0.0409
C12,0.0399
D1,0.0399
D2,0.0381
D3,0.0382
D4,0.038
D5,0.0381
D6,0.0376
D7,0.0404
D8,0.0581
D9,0.0462
D10,0.0404
D11,0.0382
D12,0.0394
E1,0.0387
E2,0.0378
E3,0.0381
E4,0.0385
E5,0.0554
E6,0.0737
E7,0.0688
E8,0.0491
E9,0.0381
E10,0.0373
E11,0.0376
E12,0.0383
F1,0.0385
F2,0.0412
F3,0.0949
F4,0.2152
F5,0.191
F6,0.0391
F7,0.0382
F8,0.0378
F9,0.0388
F10,0.038
F11,0.0383
F12,0.0504
G1,0.2039
G2,1.5301
G3,1.7632
G4,0.0379
G5,0.0382
G6,0.0392
G7,0.038
G8,0.0383
G9,0.0382
G10,0.0714
G11,1.4615
G12,2.8676
H1,0.0385
H2,0.0385
H3,0.0377
H4,0.0467
H5,0.0469
H6,0.0473
H7,0.0473
H8,0.047
H9,0.0474
H10,0.0471
H11,0.0475
H12,0.0469
