,well_position,334_373,334_384
0,A1,235147.0,315221.0
1,A2,191807.0,249784.0
2,A3,248629.0,292701.0
3,A4,242564.0,285595.0
4,A5,267233.0,312282.0
5,A6,303794.0,360896.0
6,A7,255221.0,300878.0
7,A8,258390.0,303025.0
8,A9,252753.0,295650.0
9,A10,204158.0,237945.0
10,A11,141979.0,173863.0
11,A12,172560.0,218437.0
12,B1,280574.0,327357.0
13,B2,282451.0,328012.0
14,B3,312015.0,362835.0
15,B4,244255.0,283629.0
16,B5,244629.0,283182.0
17,B6,240767.0,279429.0
18,B7,199795.0,232161.0
19,B8,144534.0,176495.0
20,B9,156062.0,194671.0
21,B10,288505.0,335031.0
22,B11,274567.0,319086.0
23,B12,261111.0,303099.0
24,C1,213782.0,246510.0
25,C2,252961.0,294184.0
26,C3,285833.0,337370.0
27,C4,196101.0,225863.0
28,C5,148772.0,182767.0
29,C6,154196.0,192903.0
30,C7,367647.0,429164.0
31,C8,287486.0,336683.0
32,C9,267988.0,309408.0
33,C10,223838.0,259599.0
34,C11,226880.0,260190.0
35,C12,224690.0,260753.0
36,D1,202615.0,235126.0
37,D2,157835.0,193145.0
38,D3,167350.0,211235.0
39,D4,292331.0,341159.0
40,D5,288895.0,336748.0
41,D6,257373.0,296929.0
42,D7,240206.0,281109.0
43,D8,213685.0,248460.0
44,D9,224048.0,257072.0
45,D10,188297.0,217728.0
46,D11,142448.0,162035.0
47,D12,161146.0,200185.0
48,E1,274642.0,317633.0
49,E2,270300.0,312895.0
50,E3,283358.0,325905.0
51,E4,244558.0,282583.0
52,E5,218156.0,251901.0
53,E6,165424.0,193117.0
54,E7,166630.0,189946.0
55,E8,145546.0,177030.0
56,E9,163223.0,202333.0
57,E10,276589.0,319407.0
58,E11,263004.0,303350.0
59,E12,240945.0,276243.0
60,F1,207109.0,237235.0
61,F2,224737.0,260073.0
62,F3,195215.0,225047.0
63,F4,70813.0,87515.0
64,F5,68371.0,79244.0
65,F6,164775.0,209488.0
66,F7,263188.0,309065.0
67,F8,243685.0,286969.0
68,F9,223783.0,259542.0
69,F10,206007.0,235889.0
70,F11,169601.0,194622.0
71,F12,145539.0,166091.0
72,G1,66110.0,78741.0
73,G2,16754.0,19960.0
74,G3,20158.0,25972.0
75,G4,215799.0,276786.0
76,G5,226007.0,290491.0
77,G6,233018.0,300358.0
78,G7,236280.0,302533.0
79,G8,254756.0,329263.0
80,G9,242805.0,312038.0
81,G10,208417.0,269830.0
82,G11,35460.0,46056.0
83,G12,15963.0,20223.0
84,H1,200301.0,253064.0
85,H2,206354.0,268546.0
86,H3,309548.0,361740.0
