,well_position,turbidity_600
0,A1,0.0396
1,A2,0.0382
2,A3,0.0389
3,A4,0.0401
4,A5,0.092
5,A6,0.1476
6,A7,0.181
7,A8,0.4112
8,A9,0.9545
9,A10,1.0211
10,A11,1.2345
11,A12,1.6181
12,B1,0.0395
13,B2,0.0996
14,B3,0.1485
15,B4,0.1704
16,B5,0.3855
17,B6,1.2145
18,B7,0.9922
19,B8,1.5192
20,B9,1.8365
21,B10,0.0381
22,B11,0.0532
23,B12,0.0876
24,C1,0.1497
25,C2,0.208
26,C3,1.6046
27,C4,1.3019
28,C5,1.9316
29,C6,2.2551
30,C7,0.0386
31,C8,0.0499
32,C9,0.0611
33,C10,0.1059
34,C11,0.1863
35,C12,1.3017
36,D1,1.9304
37,D2,2.1169
38,D3,2.3518
39,D4,0.0378
40,D5,0.0447
41,D6,0.0524
42,D7,0.0758
43,D8,0.1124
44,D9,1.4612
45,D10,2.1778
46,D11,2.4847
47,D12,2.5139
48,E1,0.0392
49,E2,0.0448
50,E3,0.069
51,E4,0.0703
52,E5,0.1038
53,E6,1.4261
54,E7,1.9129
55,E8,2.375
56,E9,2.6614
57,E10,0.0384
58,E11,0.0412
59,E12,0.0486
60,F1,0.0839
61,F2,0.1082
62,F3,1.5659
63,F4,2.0046
64,F5,2.601
65,F6,2.8178
66,F7,0.0387
67,F8,0.0405
68,F9,0.0536
69,F10,0.0683
70,F11,0.1082
71,F12,1.2652
72,G1,2.0982
73,G2,2.6791
74,G3,2.8203
75,G4,0.0379
76,G5,0.0384
77,G6,0.044
78,G7,0.0649
79,G8,0.0994
80,G9,1.6785
81,G10,1.8499
82,G11,2.5868
83,G12,2.9589
84,H1,0.0409
85,H2,0.0385
86,H3,0.0374
