vial_name,surfactant,target_concentration_mm,needed_for_concentrations,source_vial,source_concentration_mm,source_volume_ml,water_volume_ml,final_volume_ml,dilution_factor
SDS_dilution_0,SDS,10.0,1.03e+00,SDS_stock,50.0,1.2,4.8,6.0,5.0
SDS_dilution_1,SDS,1.5,,SDS_dilution_0,10.0,0.8999999999999999,5.1,6.0,6.666666666666667
SDS_dilution_2,SDS,0.30000000000000004,4.74e-02,SDS_dilution_1,1.5,1.2000000000000002,4.8,6.0,4.999999999999999
SDS_dilution_3,SDS,0.04,2.18e-03,SDS_dilution_2,0.30000000000000004,0.7999999999999999,5.2,6.0,7.500000000000001
SDS_dilution_4,SDS,0.007,,SDS_dilution_3,0.04,1.05,4.95,6.0,5.714285714285714
SDS_dilution_5,SDS,0.001,1.00e-04,SDS_dilution_4,0.007,0.8571428571428571,5.142857142857143,6.0,7.0
TTAB_dilution_0,TTAB,10.0,1.03e+00,TTAB_stock,50.0,1.2,4.8,6.0,5.0
TTAB_dilution_1,TTAB,1.5,,TTAB_dilution_0,10.0,0.8999999999999999,5.1,6.0,6.666666666666667
TTAB_dilution_2,TTAB,0.30000000000000004,4.74e-02,TTAB_dilution_1,1.5,1.2000000000000002,4.8,6.0,4.999999999999999
TTAB_dilution_3,TTAB,0.04,2.18e-03,TTAB_dilution_2,0.30000000000000004,0.7999999999999999,5.2,6.0,7.500000000000001
TTAB_dilution_4,TTAB,0.007,,TTAB_dilution_3,0.04,1.05,4.95,6.0,5.714285714285714
TTAB_dilution_5,TTAB,0.001,1.00e-04,TTAB_dilution_4,0.007,0.8571428571428571,5.142857142857143,6.0,7.0
