wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate
0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1
1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1
2,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
3,experiment,experiment,SDS,TTAB,0.0001,0.0001,SDS_dilution_5,0.001,20.0,TTAB_dilution_5,0.001,20.0,160.0,0.0,,5,1
4,experiment,experiment,SDS,TTAB,0.0001,0.002177938587346432,SDS_dilution_5,0.001,20.0,TTAB_dilution_3,0.04,10.889692936732159,169.11030706326784,0.0,,5,1
5,experiment,experiment,SDS,TTAB,0.0001,0.0474341649025257,SDS_dilution_5,0.001,20.0,TTAB_dilution_2,0.30000000000000004,31.622776601683796,148.3772233983162,0.0,,5,1
6,experiment,experiment,SDS,TTAB,0.0001,1.033086980997645,SDS_dilution_5,0.001,20.0,TTAB_dilution_0,10.0,20.661739619952904,159.3382603800471,0.0,,5,1
7,experiment,experiment,SDS,TTAB,0.0001,22.5,SDS_dilution_5,0.001,20.0,TTAB_stock,50.0,90.0,90.0,0.0,,5,1
8,experiment,experiment,SDS,TTAB,0.002177938587346432,0.0001,SDS_dilution_3,0.04,10.889692936732159,TTAB_dilution_5,0.001,20.0,169.11030706326784,0.0,,5,1
9,experiment,experiment,SDS,TTAB,0.002177938587346432,0.002177938587346432,SDS_dilution_3,0.04,10.889692936732159,TTAB_dilution_3,0.04,10.889692936732159,178.22061412653568,0.0,,5,1
10,experiment,experiment,SDS,TTAB,0.002177938587346432,0.0474341649025257,SDS_dilution_3,0.04,10.889692936732159,TTAB_dilution_2,0.30000000000000004,31.622776601683796,157.48753046158404,0.0,,5,1
11,experiment,experiment,SDS,TTAB,0.002177938587346432,1.033086980997645,SDS_dilution_3,0.04,10.889692936732159,TTAB_dilution_0,10.0,20.661739619952904,168.44856744331494,0.0,,5,1
12,experiment,experiment,SDS,TTAB,0.002177938587346432,22.5,SDS_dilution_3,0.04,10.889692936732159,TTAB_stock,50.0,90.0,99.11030706326784,0.0,,5,1
13,experiment,experiment,SDS,TTAB,0.0474341649025257,0.0001,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_5,0.001,20.0,148.3772233983162,0.0,,5,1
14,experiment,experiment,SDS,TTAB,0.0474341649025257,0.002177938587346432,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_3,0.04,10.889692936732159,157.48753046158404,0.0,,5,1
15,experiment,experiment,SDS,TTAB,0.0474341649025257,0.0474341649025257,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_2,0.30000000000000004,31.622776601683796,136.7544467966324,0.0,,5,1
16,experiment,experiment,SDS,TTAB,0.0474341649025257,1.033086980997645,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_0,10.0,20.661739619952904,147.7154837783633,0.0,,5,1
17,experiment,experiment,SDS,TTAB,0.0474341649025257,22.5,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_stock,50.0,90.0,78.3772233983162,0.0,,5,1
18,experiment,experiment,SDS,TTAB,1.033086980997645,0.0001,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_5,0.001,20.0,159.3382603800471,0.0,,5,1
19,experiment,experiment,SDS,TTAB,1.033086980997645,0.002177938587346432,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_3,0.04,10.889692936732159,168.44856744331494,0.0,,5,1
20,experiment,experiment,SDS,TTAB,1.033086980997645,0.0474341649025257,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_2,0.30000000000000004,31.622776601683796,147.7154837783633,0.0,,5,1
21,experiment,experiment,SDS,TTAB,1.033086980997645,1.033086980997645,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_0,10.0,20.661739619952904,158.6765207600942,0.0,,5,1
22,experiment,experiment,SDS,TTAB,1.033086980997645,22.5,SDS_dilution_0,10.0,20.661739619952904,TTAB_stock,50.0,90.0,89.3382603800471,0.0,,5,1
23,experiment,experiment,SDS,TTAB,22.5,0.0001,SDS_stock,50.0,90.0,TTAB_dilution_5,0.001,20.0,90.0,0.0,,5,1
24,experiment,experiment,SDS,TTAB,22.5,0.002177938587346432,SDS_stock,50.0,90.0,TTAB_dilution_3,0.04,10.889692936732159,99.11030706326784,0.0,,5,1
25,experiment,experiment,SDS,TTAB,22.5,0.0474341649025257,SDS_stock,50.0,90.0,TTAB_dilution_2,0.30000000000000004,31.622776601683796,78.3772233983162,0.0,,5,1
26,experiment,experiment,SDS,TTAB,22.5,1.033086980997645,SDS_stock,50.0,90.0,TTAB_dilution_0,10.0,20.661739619952904,89.3382603800471,0.0,,5,1
27,experiment,experiment,SDS,TTAB,22.5,22.5,SDS_stock,50.0,90.0,TTAB_stock,50.0,90.0,20.0,0.0,,5,1
28,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1
29,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1
30,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
