wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate
0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,20.0,MES,5,1
1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,20.0,MES,5,1
2,control,buffer_blank,SDS,TTAB,,,,,0.0,,,0.0,0.0,200.0,MES,5,1
3,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,20.0,MES,5,1
4,experiment,experiment,SDS,TTAB,0.0001,0.0001,SDS_dilution_5,0.001,20.0,TTAB_dilution_5,0.001,20.0,140.0,20.0,MES,5,1
5,experiment,experiment,SDS,TTAB,0.0001,0.002177938587346432,SDS_dilution_5,0.001,20.0,TTAB_dilution_4,0.007,62.226816781326626,97.77318321867338,20.0,MES,5,1
6,experiment,experiment,SDS,TTAB,0.0001,0.0474341649025257,SDS_dilution_5,0.001,20.0,TTAB_dilution_2,0.30000000000000004,31.622776601683796,128.3772233983162,20.0,MES,5,1
7,experiment,experiment,SDS,TTAB,0.0001,1.033086980997645,SDS_dilution_5,0.001,20.0,TTAB_dilution_0,10.0,20.661739619952904,139.3382603800471,20.0,MES,5,1
8,experiment,experiment,SDS,TTAB,0.0001,22.5,SDS_dilution_5,0.001,20.0,TTAB_stock,50.0,90.0,70.0,20.0,MES,5,1
9,experiment,experiment,SDS,TTAB,0.002177938587346432,0.0001,SDS_dilution_4,0.007,62.226816781326626,TTAB_dilution_5,0.001,20.0,97.77318321867338,20.0,MES,5,1
10,experiment,experiment,SDS,TTAB,0.002177938587346432,0.002177938587346432,SDS_dilution_4,0.007,62.226816781326626,TTAB_dilution_4,0.007,62.226816781326626,55.54636643734675,20.0,MES,5,1
11,experiment,experiment,SDS,TTAB,0.002177938587346432,0.0474341649025257,SDS_dilution_4,0.007,62.226816781326626,TTAB_dilution_2,0.30000000000000004,31.622776601683796,86.15040661698959,20.0,MES,5,1
12,experiment,experiment,SDS,TTAB,0.002177938587346432,1.033086980997645,SDS_dilution_4,0.007,62.226816781326626,TTAB_dilution_0,10.0,20.661739619952904,97.11144359872047,20.0,MES,5,1
13,experiment,experiment,SDS,TTAB,0.002177938587346432,22.5,SDS_dilution_4,0.007,62.226816781326626,TTAB_stock,50.0,90.0,27.77318321867338,20.0,MES,5,1
14,experiment,experiment,SDS,TTAB,0.0474341649025257,0.0001,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_5,0.001,20.0,128.3772233983162,20.0,MES,5,1
15,experiment,experiment,SDS,TTAB,0.0474341649025257,0.002177938587346432,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_4,0.007,62.226816781326626,86.15040661698959,20.0,MES,5,1
16,experiment,experiment,SDS,TTAB,0.0474341649025257,0.0474341649025257,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_2,0.30000000000000004,31.622776601683796,116.75444679663241,20.0,MES,5,1
17,experiment,experiment,SDS,TTAB,0.0474341649025257,1.033086980997645,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_dilution_0,10.0,20.661739619952904,127.7154837783633,20.0,MES,5,1
18,experiment,experiment,SDS,TTAB,0.0474341649025257,22.5,SDS_dilution_2,0.30000000000000004,31.622776601683796,TTAB_stock,50.0,90.0,58.377223398316204,20.0,MES,5,1
19,experiment,experiment,SDS,TTAB,1.033086980997645,0.0001,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_5,0.001,20.0,139.3382603800471,20.0,MES,5,1
20,experiment,experiment,SDS,TTAB,1.033086980997645,0.002177938587346432,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_4,0.007,62.226816781326626,97.11144359872047,20.0,MES,5,1
21,experiment,experiment,SDS,TTAB,1.033086980997645,0.0474341649025257,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_2,0.30000000000000004,31.622776601683796,127.7154837783633,20.0,MES,5,1
22,experiment,experiment,SDS,TTAB,1.033086980997645,1.033086980997645,SDS_dilution_0,10.0,20.661739619952904,TTAB_dilution_0,10.0,20.661739619952904,138.6765207600942,20.0,MES,5,1
23,experiment,experiment,SDS,TTAB,1.033086980997645,22.5,SDS_dilution_0,10.0,20.661739619952904,TTAB_stock,50.0,90.0,69.3382603800471,20.0,MES,5,1
24,experiment,experiment,SDS,TTAB,22.5,0.0001,SDS_stock,50.0,90.0,TTAB_dilution_5,0.001,20.0,70.0,20.0,MES,5,1
25,experiment,experiment,SDS,TTAB,22.5,0.002177938587346432,SDS_stock,50.0,90.0,TTAB_dilution_4,0.007,62.226816781326626,27.77318321867338,20.0,MES,5,1
26,experiment,experiment,SDS,TTAB,22.5,0.0474341649025257,SDS_stock,50.0,90.0,TTAB_dilution_2,0.30000000000000004,31.622776601683796,58.377223398316204,20.0,MES,5,1
27,experiment,experiment,SDS,TTAB,22.5,1.033086980997645,SDS_stock,50.0,90.0,TTAB_dilution_0,10.0,20.661739619952904,69.3382603800471,20.0,MES,5,1
