,well_position,334_373,334_384
0,A1,255940.0,330058.0
1,A2,242405.0,310009.0
2,A3,379876.0,438817.0
3,A4,279232.0,313015.0
4,A5,282087.0,323269.0
5,A6,289452.0,329165.0
6,A7,243614.0,272814.0
7,A8,208503.0,233783.0
8,A9,217194.0,272977.0
9,A10,327317.0,372338.0
10,A11,209588.0,230345.0
11,A12,285169.0,326783.0
12,B1,182994.0,197650.0
13,B2,211741.0,267299.0
14,B3,270217.0,302798.0
15,B4,286604.0,326691.0
16,B5,274299.0,316725.0
17,B6,213601.0,239964.0
18,B7,207125.0,257352.0
19,B8,319055.0,363021.0
20,B9,298275.0,339592.0
21,B10,239588.0,271452.0
22,B11,129448.0,147015.0
23,B12,221135.0,275577.0
24,C1,247797.0,315277.0
25,C2,271435.0,348567.0
26,C3,245085.0,311391.0
27,C4,237516.0,306659.0
28,C5,24784.0,32954.0
29,C6,292063.0,377599.0
30,C7,234129.0,290779.0
31,C8,364609.0,418912.0
32,C9,315643.0,356859.0
