,well_position,334_373,334_384
0,A1,230707.0,297823.0
1,A2,192559.0,250698.0
2,A3,271623.0,317763.0
3,A4,254709.0,298782.0
4,A5,237702.0,279281.0
5,A6,233307.0,271110.0
6,A7,224309.0,265650.0
7,A8,243882.0,307487.0
8,A9,237255.0,305543.0
9,A10,247248.0,321470.0
10,A11,244612.0,320835.0
11,A12,217218.0,247241.0
12,B1,187348.0,211547.0
13,B2,164857.0,185179.0
14,B3,148463.0,166070.0
15,B4,153223.0,173974.0
16,B5,167669.0,201961.0
17,B6,185087.0,227745.0
18,B7,200457.0,249855.0
19,B8,257097.0,295206.0
20,B9,226769.0,260134.0
21,B10,229562.0,263026.0
22,B11,160516.0,179115.0
23,B12,192896.0,242497.0
24,C1,236272.0,270092.0
25,C2,231471.0,271746.0
26,C3,224959.0,263352.0
27,C4,164889.0,192583.0
28,C5,203276.0,256125.0
29,C6,258344.0,299918.0
30,C7,246636.0,285934.0
31,C8,145008.0,172163.0
32,C9,142506.0,167379.0
33,C10,210006.0,266733.0
34,C11,192063.0,219531.0
35,C12,144467.0,163038.0
36,D1,142765.0,165109.0
37,D2,66569.0,96880.0
38,D3,45145.0,59971.0
39,D4,258903.0,336494.0
40,D5,246670.0,323343.0
41,D6,249625.0,327611.0
42,D7,99355.0,135678.0
43,D8,261276.0,397393.0
