vial_name,surfactant,target_concentration_mm,needed_for_concentrations,source_vial,source_concentration_mm,source_volume_ml,water_volume_ml,final_volume_ml,dilution_factor
SDS_dilution_0,SDS,10.0,,SDS_stock,50.0,1.5,6.0,7.5,5.0
SDS_dilution_1,SDS,4.0,1.72e+00,SDS_stock,50.0,0.6,6.9,7.5,12.5
SDS_dilution_2,SDS,1.5,,SDS_stock,50.0,0.22499999999999998,7.275,7.5,33.333333333333336
SDS_dilution_3,SDS,0.7000000000000001,,SDS_dilution_0,10.0,0.525,6.975,7.5,14.285714285714285
SDS_dilution_4,SDS,0.30000000000000004,1.31e-01,SDS_dilution_0,10.0,0.22500000000000003,7.275,7.5,33.33333333333333
SDS_dilution_5,SDS,0.1,1.00e-02,SDS_dilution_2,1.5,0.5,7.0,7.5,15.0
TTAB_dilution_0,TTAB,10.0,,TTAB_stock,50.0,1.5,6.0,7.5,5.0
TTAB_dilution_1,TTAB,4.0,1.72e+00,TTAB_stock,50.0,0.6,6.9,7.5,12.5
TTAB_dilution_2,TTAB,1.5,,TTAB_stock,50.0,0.22499999999999998,7.275,7.5,33.333333333333336
TTAB_dilution_3,TTAB,0.7000000000000001,,TTAB_dilution_0,10.0,0.525,6.975,7.5,14.285714285714285
TTAB_dilution_4,TTAB,0.30000000000000004,1.31e-01,TTAB_dilution_0,10.0,0.22500000000000003,7.275,7.5,33.33333333333333
TTAB_dilution_5,TTAB,0.1,1.00e-02,TTAB_dilution_2,1.5,0.5,7.0,7.5,15.0
