,wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,fluorescence_334_373,fluorescence_334_384,post_shake_fluorescence_334_373,post_shake_fluorescence_334_384
0,0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1,175514.0,221707.0,189432.0,238948.0
1,1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1,157500.0,196716.0,156559.0,195306.0
2,2,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,172422.0,191438.0,156682.0,170472.0
3,3,control,cmc_SDS_1,SDS,TTAB,2.8666666666666667,,SDS_dilution_1,5.0,114.66666666666667,,,0.0,85.33333333333333,0.0,,5,1,275353.0,329787.0,263371.0,311117.0
4,4,control,cmc_SDS_2,SDS,TTAB,4.635725860128543,,SDS_dilution_1,5.0,185.42903440514175,,,0.0,14.57096559485825,0.0,,5,1,268532.0,319782.0,258397.0,306073.0
5,5,control,cmc_SDS_3,SDS,TTAB,6.534586896603694,,SDS_dilution_0,10.0,130.6917379320739,,,0.0,69.30826206792611,0.0,,5,1,181282.0,209487.0,177488.0,202465.0
6,6,control,cmc_SDS_4,SDS,TTAB,8.02931271970357,,SDS_dilution_0,10.0,160.58625439407143,,,0.0,39.41374560592857,0.0,,5,1,165994.0,199989.0,167376.0,205008.0
7,7,control,cmc_SDS_5,SDS,TTAB,9.211249154427064,,SDS_dilution_0,10.0,184.22498308854125,,,0.0,15.77501691145875,0.0,,5,1,214373.0,272670.0,220286.0,284450.0
8,8,control,cmc_SDS_6,SDS,TTAB,11.318236511391435,,SDS_stock,50.0,45.27294604556574,,,0.0,154.72705395443427,0.0,,5,1,177287.0,221299.0,178281.0,223154.0
9,9,control,cmc_SDS_7,SDS,TTAB,15.954351536643529,,SDS_stock,50.0,63.817406146574115,,,0.0,136.18259385342589,0.0,,5,1,168201.0,207735.0,168237.0,207602.0
10,10,control,cmc_SDS_8,SDS,TTAB,25.799999999999994,,SDS_stock,50.0,103.19999999999999,,,0.0,96.80000000000001,0.0,,5,1,116352.0,128573.0,114906.0,127070.0
11,11,control,cmc_TTAB_1,SDS,TTAB,,1.2566666666666668,,,0.0,TTAB_dilution_2,2.0,125.66666666666669,74.33333333333331,0.0,,5,1,144634.0,154804.0,140946.0,151449.0
12,12,control,cmc_TTAB_2,SDS,TTAB,,2.032172847986583,,,0.0,TTAB_dilution_1,5.0,81.28691391946332,118.71308608053668,0.0,,5,1,97628.0,97190.0,98364.0,98630.0
13,13,control,cmc_TTAB_3,SDS,TTAB,,2.8645805349065045,,,0.0,TTAB_dilution_1,5.0,114.58322139626019,85.41677860373981,0.0,,5,1,87249.0,82360.0,89717.0,85087.0
14,14,control,cmc_TTAB_4,SDS,TTAB,,3.5198266224747057,,,0.0,TTAB_dilution_1,5.0,140.79306489898823,59.206935101011766,0.0,,5,1,133043.0,147097.0,129227.0,142683.0
15,15,control,cmc_TTAB_5,SDS,TTAB,,4.037954571184888,,,0.0,TTAB_dilution_1,5.0,161.5181828473955,38.48181715260449,0.0,,5,1,112998.0,121851.0,116159.0,128167.0
16,16,control,cmc_TTAB_6,SDS,TTAB,,4.961599028830897,,,0.0,TTAB_dilution_1,5.0,198.46396115323589,1.5360388467641144,0.0,,5,1,124157.0,138846.0,134763.0,155599.0
17,17,control,cmc_TTAB_7,SDS,TTAB,,6.993942475947224,,,0.0,TTAB_dilution_0,10.0,139.8788495189445,60.12115048105551,0.0,,5,1,126279.0,144143.0,127963.0,147086.0
18,18,control,cmc_TTAB_8,SDS,TTAB,,11.31,,,0.0,TTAB_stock,50.0,45.24,154.76,0.0,,5,1,136073.0,159003.0,135866.0,160131.0
19,19,experiment,experiment,SDS,TTAB,0.1,0.1,SDS_dilution_2,2.0,10.0,TTAB_dilution_2,2.0,10.0,180.0,0.0,,5,1,114152.0,120324.0,112912.0,121994.0
20,20,experiment,experiment,SDS,TTAB,0.1,0.6082201995573401,SDS_dilution_2,2.0,10.0,TTAB_dilution_0,10.0,12.164403991146802,177.8355960088532,0.0,,5,1,121011.0,128995.0,122800.0,130924.0
21,21,experiment,experiment,SDS,TTAB,0.1,3.6993181114957063,SDS_dilution_2,2.0,10.0,TTAB_stock,50.0,14.797272445982825,175.20272755401717,0.0,,5,1,102763.0,106545.0,109960.0,117226.0
22,22,experiment,experiment,SDS,TTAB,0.1,22.5,SDS_dilution_2,2.0,10.0,TTAB_stock,50.0,90.0,100.0,0.0,,5,1,133767.0,154523.0,130390.0,151638.0
23,23,experiment,experiment,SDS,TTAB,0.6082201995573401,0.1,SDS_dilution_0,10.0,12.164403991146802,TTAB_dilution_2,2.0,10.0,177.8355960088532,0.0,,5,1,102739.0,103924.0,102556.0,105400.0
24,24,experiment,experiment,SDS,TTAB,0.6082201995573401,0.6082201995573401,SDS_dilution_0,10.0,12.164403991146802,TTAB_dilution_0,10.0,12.164403991146802,175.6711920177064,0.0,,5,1,40548.0,46517.0,39382.0,45449.0
25,25,experiment,experiment,SDS,TTAB,0.6082201995573401,3.6993181114957063,SDS_dilution_0,10.0,12.164403991146802,TTAB_stock,50.0,14.797272445982825,173.03832356287037,0.0,,5,1,71487.0,73495.0,71331.0,74716.0
26,26,experiment,experiment,SDS,TTAB,0.6082201995573401,22.5,SDS_dilution_0,10.0,12.164403991146802,TTAB_stock,50.0,90.0,97.8355960088532,0.0,,5,1,123809.0,139827.0,118594.0,133836.0
27,27,experiment,experiment,SDS,TTAB,3.6993181114957063,0.1,SDS_stock,50.0,14.797272445982825,TTAB_dilution_2,2.0,10.0,175.20272755401717,0.0,,5,1,123451.0,138075.0,123977.0,137111.0
28,28,experiment,experiment,SDS,TTAB,3.6993181114957063,0.6082201995573401,SDS_stock,50.0,14.797272445982825,TTAB_dilution_0,10.0,12.164403991146802,173.03832356287037,0.0,,5,1,72578.0,84325.0,66551.0,78144.0
29,29,experiment,experiment,SDS,TTAB,3.6993181114957063,3.6993181114957063,SDS_stock,50.0,14.797272445982825,TTAB_stock,50.0,14.797272445982825,170.40545510803435,0.0,,5,1,31705.0,42621.0,32454.0,44332.0
30,30,experiment,experiment,SDS,TTAB,3.6993181114957063,22.5,SDS_stock,50.0,14.797272445982825,TTAB_stock,50.0,90.0,95.20272755401717,0.0,,5,1,21485.0,25333.0,22240.0,27254.0
31,31,experiment,experiment,SDS,TTAB,22.5,0.1,SDS_stock,50.0,90.0,TTAB_dilution_2,2.0,10.0,100.0,0.0,,5,1,142397.0,167553.0,144886.0,172126.0
32,32,experiment,experiment,SDS,TTAB,22.5,0.6082201995573401,SDS_stock,50.0,90.0,TTAB_dilution_0,10.0,12.164403991146802,97.8355960088532,0.0,,5,1,201789.0,263061.0,203907.0,266020.0
33,33,experiment,experiment,SDS,TTAB,22.5,3.6993181114957063,SDS_stock,50.0,90.0,TTAB_stock,50.0,14.797272445982825,95.20272755401717,0.0,,5,1,30473.0,38913.0,35963.0,45995.0
34,34,experiment,experiment,SDS,TTAB,22.5,22.5,SDS_stock,50.0,90.0,TTAB_stock,50.0,90.0,20.0,0.0,,5,1,30809.0,44620.0,38806.0,56401.0
