,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,189432.0,238948.0,0
1,A2,156559.0,195306.0,1
2,A3,156682.0,170472.0,2
3,A4,263371.0,311117.0,3
4,A5,258397.0,306073.0,4
5,A6,177488.0,202465.0,5
6,A7,167376.0,205008.0,6
7,A8,220286.0,284450.0,7
8,A9,178281.0,223154.0,8
9,A10,168237.0,207602.0,9
10,A11,114906.0,127070.0,10
11,A12,140946.0,151449.0,11
12,B1,98364.0,98630.0,12
13,B2,89717.0,85087.0,13
14,B3,129227.0,142683.0,14
15,B4,116159.0,128167.0,15
16,B5,134763.0,155599.0,16
17,B6,127963.0,147086.0,17
18,B7,135866.0,160131.0,18
19,B8,112912.0,121994.0,19
20,B9,122800.0,130924.0,20
21,B10,109960.0,117226.0,21
22,B11,130390.0,151638.0,22
23,B12,102556.0,105400.0,23
24,C1,39382.0,45449.0,24
25,C2,71331.0,74716.0,25
26,C3,118594.0,133836.0,26
27,C4,123977.0,137111.0,27
28,C5,66551.0,78144.0,28
29,C6,32454.0,44332.0,29
30,C7,22240.0,27254.0,30
31,C8,144886.0,172126.0,31
32,C9,203907.0,266020.0,32
33,C10,35963.0,45995.0,33
34,C11,38806.0,56401.0,34
