,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,175514.0,221707.0,0
1,A2,157500.0,196716.0,1
2,A3,172422.0,191438.0,2
3,A4,275353.0,329787.0,3
4,A5,268532.0,319782.0,4
5,A6,181282.0,209487.0,5
6,A7,165994.0,199989.0,6
7,A8,214373.0,272670.0,7
8,A9,177287.0,221299.0,8
9,A10,168201.0,207735.0,9
10,A11,116352.0,128573.0,10
11,A12,144634.0,154804.0,11
12,B1,97628.0,97190.0,12
13,B2,87249.0,82360.0,13
14,B3,133043.0,147097.0,14
15,B4,112998.0,121851.0,15
16,B5,124157.0,138846.0,16
17,B6,126279.0,144143.0,17
18,B7,136073.0,159003.0,18
19,B8,114152.0,120324.0,19
20,B9,121011.0,128995.0,20
21,B10,102763.0,106545.0,21
22,B11,133767.0,154523.0,22
23,B12,102739.0,103924.0,23
24,C1,40548.0,46517.0,24
25,C2,71487.0,73495.0,25
26,C3,123809.0,139827.0,26
27,C4,123451.0,138075.0,27
28,C5,72578.0,84325.0,28
29,C6,31705.0,42621.0,29
30,C7,21485.0,25333.0,30
31,C8,142397.0,167553.0,31
32,C9,201789.0,263061.0,32
33,C10,30473.0,38913.0,33
34,C11,30809.0,44620.0,34
