,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,212647.0,273866.0,0
1,A2,134608.0,174035.0,1
2,A3,116275.0,120282.0,2
3,A4,184720.0,211971.0,3
4,A5,197265.0,220455.0,4
5,A6,184757.0,223553.0,5
6,A7,179405.0,225886.0,6
7,A8,246323.0,330131.0,7
8,A9,214229.0,278496.0,8
9,A10,217277.0,283316.0,9
10,A11,141620.0,168308.0,10
11,A12,131700.0,139016.0,11
12,B1,97185.0,92559.0,12
13,B2,88702.0,84938.0,13
14,B3,155445.0,186243.0,14
15,B4,178934.0,207045.0,15
16,B5,169242.0,206094.0,16
17,B6,143421.0,169233.0,17
18,B7,160940.0,192277.0,18
19,B8,104192.0,110881.0,19
20,B9,104082.0,106547.0,20
21,B10,145530.0,169411.0,21
22,B11,140149.0,167932.0,22
23,B12,96667.0,97659.0,23
24,C1,48098.0,59896.0,24
25,C2,84407.0,100754.0,25
26,C3,130476.0,150426.0,26
27,C4,116889.0,127685.0,27
28,C5,86455.0,105926.0,28
29,C6,31548.0,42137.0,29
30,C7,51304.0,71549.0,30
31,C8,152873.0,182904.0,31
32,C9,269756.0,361965.0,32
33,C10,94025.0,131705.0,33
34,C11,154383.0,235000.0,34
