,wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,fluorescence_334_373,fluorescence_334_384,post_shake_fluorescence_334_373,post_shake_fluorescence_334_384
0,0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1,236651.0,311311.0,231204.0,301513.0
1,1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1,184846.0,237458.0,221186.0,289966.0
2,2,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,402461.0,492833.0,349559.0,420987.0
3,3,control,cmc_SDS_1,SDS,TTAB,2.8666666666666667,,SDS_dilution_1,5.0,114.66666666666667,,,0.0,85.33333333333333,0.0,,5,1,264251.0,314858.0,249277.0,295470.0
4,4,control,cmc_SDS_2,SDS,TTAB,4.635725860128543,,SDS_dilution_1,5.0,185.42903440514175,,,0.0,14.57096559485825,0.0,,5,1,243861.0,289444.0,239965.0,284850.0
5,5,control,cmc_SDS_3,SDS,TTAB,6.534586896603694,,SDS_dilution_0,10.0,130.6917379320739,,,0.0,69.30826206792611,0.0,,5,1,234902.0,283974.0,225173.0,270426.0
6,6,control,cmc_SDS_4,SDS,TTAB,8.02931271970357,,SDS_dilution_0,10.0,160.58625439407143,,,0.0,39.41374560592857,0.0,,5,1,87380.0,88712.0,86856.0,88858.0
7,7,control,cmc_SDS_5,SDS,TTAB,9.211249154427064,,SDS_dilution_0,10.0,184.22498308854125,,,0.0,15.77501691145875,0.0,,5,1,199059.0,247342.0,204546.0,262243.0
8,8,control,cmc_SDS_6,SDS,TTAB,11.318236511391435,,SDS_stock,50.0,45.27294604556574,,,0.0,154.72705395443427,0.0,,5,1,213615.0,274035.0,217660.0,283263.0
9,9,control,cmc_SDS_7,SDS,TTAB,15.954351536643529,,SDS_stock,50.0,63.817406146574115,,,0.0,136.18259385342589,0.0,,5,1,225302.0,295919.0,229347.0,301930.0
10,10,control,cmc_SDS_8,SDS,TTAB,25.799999999999994,,SDS_stock,50.0,103.19999999999999,,,0.0,96.80000000000001,0.0,,5,1,235364.0,308985.0,229983.0,301651.0
11,11,control,cmc_TTAB_1,SDS,TTAB,,1.2566666666666668,,,0.0,TTAB_dilution_2,2.0,125.66666666666669,74.33333333333331,0.0,,5,1,215783.0,251676.0,204745.0,236368.0
12,12,control,cmc_TTAB_2,SDS,TTAB,,2.032172847986583,,,0.0,TTAB_dilution_1,5.0,81.28691391946332,118.71308608053668,0.0,,5,1,212103.0,240772.0,192577.0,217571.0
13,13,control,cmc_TTAB_3,SDS,TTAB,,2.8645805349065045,,,0.0,TTAB_dilution_1,5.0,114.58322139626019,85.41677860373981,0.0,,5,1,159399.0,176098.0,139613.0,152737.0
14,14,control,cmc_TTAB_4,SDS,TTAB,,3.5198266224747057,,,0.0,TTAB_dilution_1,5.0,140.79306489898823,59.206935101011766,0.0,,5,1,151163.0,167257.0,130778.0,141995.0
15,15,control,cmc_TTAB_5,SDS,TTAB,,4.037954571184888,,,0.0,TTAB_dilution_1,5.0,161.5181828473955,38.48181715260449,0.0,,5,1,176682.0,207195.0,156164.0,183849.0
16,16,control,cmc_TTAB_6,SDS,TTAB,,4.961599028830897,,,0.0,TTAB_dilution_1,5.0,198.46396115323589,1.5360388467641144,0.0,,5,1,163893.0,197405.0,173362.0,213519.0
17,17,control,cmc_TTAB_7,SDS,TTAB,,6.993942475947224,,,0.0,TTAB_dilution_0,10.0,139.8788495189445,60.12115048105551,0.0,,5,1,141965.0,167962.0,155184.0,184924.0
18,18,control,cmc_TTAB_8,SDS,TTAB,,11.31,,,0.0,TTAB_stock,50.0,45.24,154.76,0.0,,5,1,192259.0,239635.0,185887.0,233097.0
19,19,experiment,experiment,SDS,TTAB,0.1,0.1,SDS_dilution_2,2.0,10.0,TTAB_dilution_2,2.0,10.0,180.0,0.0,,5,1,175449.0,200524.0,163888.0,188092.0
20,20,experiment,experiment,SDS,TTAB,0.1,0.6082201995573401,SDS_dilution_2,2.0,10.0,TTAB_dilution_0,10.0,12.164403991146802,177.8355960088532,0.0,,5,1,209271.0,242279.0,192369.0,221712.0
21,21,experiment,experiment,SDS,TTAB,0.1,3.6993181114957063,SDS_dilution_2,2.0,10.0,TTAB_stock,50.0,14.797272445982825,175.20272755401717,0.0,,5,1,148275.0,170565.0,150413.0,178983.0
22,22,experiment,experiment,SDS,TTAB,0.1,22.5,SDS_dilution_2,2.0,10.0,TTAB_stock,50.0,90.0,100.0,0.0,,5,1,151853.0,182927.0,147774.0,177769.0
23,23,experiment,experiment,SDS,TTAB,0.6082201995573401,0.1,SDS_dilution_0,10.0,12.164403991146802,TTAB_dilution_2,2.0,10.0,177.8355960088532,0.0,,5,1,153209.0,169414.0,147104.0,164189.0
24,24,experiment,experiment,SDS,TTAB,0.6082201995573401,0.6082201995573401,SDS_dilution_0,10.0,12.164403991146802,TTAB_dilution_0,10.0,12.164403991146802,175.6711920177064,0.0,,5,1,67006.0,79483.0,59552.0,71563.0
25,25,experiment,experiment,SDS,TTAB,0.6082201995573401,3.6993181114957063,SDS_dilution_0,10.0,12.164403991146802,TTAB_stock,50.0,14.797272445982825,173.03832356287037,0.0,,5,1,99259.0,115973.0,96123.0,110526.0
26,26,experiment,experiment,SDS,TTAB,0.6082201995573401,22.5,SDS_dilution_0,10.0,12.164403991146802,TTAB_stock,50.0,90.0,97.8355960088532,0.0,,5,1,162331.0,196239.0,164727.0,203359.0
27,27,experiment,experiment,SDS,TTAB,3.6993181114957063,0.1,SDS_stock,50.0,14.797272445982825,TTAB_dilution_2,2.0,10.0,175.20272755401717,0.0,,5,1,117699.0,127084.0,116601.0,124698.0
28,28,experiment,experiment,SDS,TTAB,3.6993181114957063,0.6082201995573401,SDS_stock,50.0,14.797272445982825,TTAB_dilution_0,10.0,12.164403991146802,173.03832356287037,0.0,,5,1,74700.0,87099.0,61083.0,71788.0
29,29,experiment,experiment,SDS,TTAB,3.6993181114957063,3.6993181114957063,SDS_stock,50.0,14.797272445982825,TTAB_stock,50.0,14.797272445982825,170.40545510803435,0.0,,5,1,22115.0,26498.0,23232.0,28615.0
30,30,experiment,experiment,SDS,TTAB,3.6993181114957063,22.5,SDS_stock,50.0,14.797272445982825,TTAB_stock,50.0,90.0,95.20272755401717,0.0,,5,1,32111.0,43033.0,33879.0,44298.0
31,31,experiment,experiment,SDS,TTAB,22.5,0.1,SDS_stock,50.0,90.0,TTAB_dilution_2,2.0,10.0,100.0,0.0,,5,1,194706.0,244638.0,192622.0,242805.0
32,32,experiment,experiment,SDS,TTAB,22.5,0.6082201995573401,SDS_stock,50.0,90.0,TTAB_dilution_0,10.0,12.164403991146802,97.8355960088532,0.0,,5,1,162391.0,198129.0,161885.0,200718.0
33,33,experiment,experiment,SDS,TTAB,22.5,3.6993181114957063,SDS_stock,50.0,90.0,TTAB_stock,50.0,14.797272445982825,95.20272755401717,0.0,,5,1,27296.0,33224.0,35772.0,43921.0
34,34,experiment,experiment,SDS,TTAB,22.5,22.5,SDS_stock,50.0,90.0,TTAB_stock,50.0,90.0,20.0,0.0,,5,1,24358.0,33952.0,30212.0,42703.0
