,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,236651.0,311311.0,0
1,A2,184846.0,237458.0,1
2,A3,402461.0,492833.0,2
3,A4,264251.0,314858.0,3
4,A5,243861.0,289444.0,4
5,A6,234902.0,283974.0,5
6,A7,87380.0,88712.0,6
7,A8,199059.0,247342.0,7
8,A9,213615.0,274035.0,8
9,A10,225302.0,295919.0,9
10,A11,235364.0,308985.0,10
11,A12,215783.0,251676.0,11
12,B1,212103.0,240772.0,12
13,B2,159399.0,176098.0,13
14,B3,151163.0,167257.0,14
15,B4,176682.0,207195.0,15
16,B5,163893.0,197405.0,16
17,B6,141965.0,167962.0,17
18,B7,192259.0,239635.0,18
19,B8,175449.0,200524.0,19
20,B9,209271.0,242279.0,20
21,B10,148275.0,170565.0,21
22,B11,151853.0,182927.0,22
23,B12,153209.0,169414.0,23
24,C1,67006.0,79483.0,24
25,C2,99259.0,115973.0,25
26,C3,162331.0,196239.0,26
27,C4,117699.0,127084.0,27
28,C5,74700.0,87099.0,28
29,C6,22115.0,26498.0,29
30,C7,32111.0,43033.0,30
31,C8,194706.0,244638.0,31
32,C9,162391.0,198129.0,32
33,C10,27296.0,33224.0,33
34,C11,24358.0,33952.0,34
