,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,284711.0,384978.0,0
1,A2,242302.0,329197.0,1
2,A3,196281.0,224785.0,2
3,A4,160869.0,181762.0,3
4,A5,173120.0,198457.0,4
5,A6,215469.0,277735.0,5
6,A7,90093.0,95603.0,6
7,A8,248165.0,334506.0,7
8,A9,248703.0,332954.0,8
9,A10,263044.0,353593.0,9
10,A11,270156.0,366161.0,10
11,A12,153001.0,169778.0,11
12,B1,158157.0,174613.0,12
13,B2,130452.0,144841.0,13
14,B3,183009.0,227278.0,14
15,B4,217549.0,279985.0,15
16,B5,212942.0,273302.0,16
17,B6,194533.0,247012.0,17
18,B7,219348.0,286898.0,18
19,B8,125565.0,138784.0,19
20,B9,158803.0,178864.0,20
21,B10,201887.0,259427.0,21
22,B11,164654.0,205014.0,22
23,B12,105935.0,113543.0,23
24,C1,71354.0,83955.0,24
25,C2,113416.0,144282.0,25
26,C3,198588.0,253585.0,26
27,C4,109390.0,117087.0,27
28,C5,70428.0,86266.0,28
29,C6,46893.0,63582.0,29
30,C7,95392.0,134924.0,30
31,C8,225834.0,293557.0,31
32,C9,201788.0,259707.0,32
33,C10,81459.0,108534.0,33
34,C11,81661.0,122386.0,34
