wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1,0.0387,84593.0,92549.0,0.9140347275497304
1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1,0.0382,110415.0,135089.0,0.8173500433047842
2,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0389,83718.0,85004.0,0.9848713001741094
3,control,cmc_SDS_1,SDS,TTAB,2.8666666666666667,,SDS_dilution_1,4.0,143.33333333333334,,,0.0,56.66666666666666,0.0,,5,1,0.0386,158119.0,179998.0,0.8784486494294381
4,control,cmc_SDS_2,SDS,TTAB,4.635725860128543,,SDS_dilution_0,10.0,92.71451720257087,,,0.0,107.28548279742913,0.0,,5,1,0.039,117360.0,130485.0,0.8994137257155995
5,control,cmc_SDS_3,SDS,TTAB,6.534586896603694,,SDS_dilution_0,10.0,130.6917379320739,,,0.0,69.30826206792611,0.0,,5,1,0.0386,74699.0,76255.0,0.97959478067012
6,control,cmc_SDS_4,SDS,TTAB,8.02931271970357,,SDS_dilution_0,10.0,160.58625439407143,,,0.0,39.41374560592857,0.0,,5,1,0.0388,92844.0,102213.0,0.9083384696662851
7,control,cmc_SDS_5,SDS,TTAB,9.211249154427064,,SDS_dilution_0,10.0,184.22498308854125,,,0.0,15.77501691145875,0.0,,5,1,0.0383,119035.0,142820.0,0.8334617000420109
8,control,cmc_SDS_6,SDS,TTAB,11.318236511391435,,SDS_stock,50.0,45.27294604556574,,,0.0,154.72705395443427,0.0,,5,1,0.0383,70245.0,71646.0,0.9804455238254752
9,control,cmc_SDS_7,SDS,TTAB,15.954351536643529,,SDS_stock,50.0,63.817406146574115,,,0.0,136.18259385342589,0.0,,5,1,0.0379,121396.0,148055.0,0.819938536354733
10,control,cmc_SDS_8,SDS,TTAB,25.799999999999994,,SDS_stock,50.0,103.19999999999999,,,0.0,96.80000000000001,0.0,,5,1,0.0387,84601.0,94324.0,0.8969191298078962
11,control,cmc_TTAB_1,SDS,TTAB,,1.2566666666666668,,,0.0,TTAB_dilution_2,1.5,167.55555555555557,32.44444444444443,0.0,,5,1,0.0382,97494.0,103769.0,0.9395291464695622
12,control,cmc_TTAB_2,SDS,TTAB,,2.032172847986583,,,0.0,TTAB_dilution_1,4.0,101.60864239932914,98.39135760067086,0.0,,5,1,0.0391,69938.0,68492.0,1.0211119546808387
