,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,C5,30017.0,38909.0,28,0.771466755763448
1,C6,35812.0,45677.0,29,0.7840269719990367
2,C7,19074.0,21348.0,30,0.8934794828555368
3,C8,22148.0,26982.0,31,0.8208435253131717
4,C9,24219.0,31285.0,32,0.7741409621224229
5,C10,57836.0,62029.0,33,0.9324025858872463
6,C11,85144.0,95279.0,34,0.893628186693815
7,C12,14597.0,16302.0,35,0.8954116059379217
8,D1,48585.0,49939.0,36,0.9728869220448948
9,D2,22531.0,28329.0,37,0.7953334039323662
10,D3,30046.0,32391.0,38,0.9276033466086259
11,D4,49920.0,58912.0,39,0.8473655621944596
12,D5,87081.0,95952.0,40,0.907547523761881
13,D6,109951.0,113467.0,41,0.9690130170005375
