,well_position,turbidity_600,wellplate_index
0,A1,0.039,0
1,A2,0.0381,1
2,A3,0.0385,2
3,A4,0.0385,3
4,A5,0.0392,4
5,A6,0.0377,5
6,A7,0.0388,6
7,A8,0.038,7
8,A9,0.0379,8
9,A10,0.0389,9
10,A11,0.039,10
11,A12,0.0419,11
12,B1,0.0393,12
13,B2,0.0385,13
14,B3,0.0388,14
15,B4,0.0389,15
16,B5,0.0385,16
17,B6,0.038,17
18,B7,0.0383,18
19,B8,0.0408,19
20,B9,0.0399,20
21,B10,0.0386,21
22,B11,0.0414,22
23,B12,0.0388,23
24,C1,0.0394,24
25,C2,0.0687,25
26,C3,0.0414,26
27,C4,0.0403,27
28,C5,0.0572,28
29,C6,0.0386,29
30,C7,0.0418,30
31,C8,0.2377,31
32,C9,0.0701,32
33,C10,0.0389,33
34,C11,0.0379,34
35,C12,0.0399,35
36,D1,0.0977,36
37,D2,1.18,37
38,D3,0.8198,38
39,D4,0.0381,39
40,D5,0.0387,40
41,D6,0.0384,41
42,D7,1.2965,42
43,D8,2.8878,43
