,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,E11,182367.0,209583.0,58,0.8701421393910765
1,E12,39183.0,53674.0,59,0.7300182583746321
2,F1,67855.0,87584.0,60,0.7747419620021921
3,F2,245566.0,335642.0,61,0.7316307255945322
4,F3,43656.0,58031.0,62,0.7522875704364909
5,F4,243666.0,310830.0,63,0.783920470997008
6,F5,239196.0,305085.0,64,0.7840306799744333
7,F6,83991.0,101046.0,65,0.8312154860162698
8,F7,127090.0,156403.0,66,0.8125803213493348
9,F8,143309.0,158703.0,67,0.9030012035059198
10,F9,49758.0,67295.0,68,0.7394011442157664
11,F10,160286.0,182938.0,69,0.8761766281472412
12,F11,144513.0,159721.0,70,0.9047839670425304
13,F12,26136.0,31803.0,71,0.8218092632770493
