,well_position,turbidity_600,wellplate_index
0,A1,0.0388,0
1,A2,0.0382,1
2,A3,0.0391,2
3,A4,0.0387,3
4,A5,0.0385,4
5,A6,0.038,5
6,A7,0.0386,6
7,A8,0.0379,7
8,A9,0.0378,8
9,A10,0.0375,9
10,A11,0.0386,10
11,A12,0.0375,11
12,B1,0.0391,12
13,B2,0.0382,13
14,B3,0.0382,14
15,B4,0.0387,15
16,B5,0.0385,16
17,B6,0.0383,17
18,B7,0.0381,18
19,B8,0.0417,19
20,B9,0.0401,20
21,B10,0.0383,21
22,B11,0.0384,22
23,B12,0.0385,23
24,C1,0.039,24
25,C2,0.0782,25
26,C3,0.0434,26
27,C4,0.0398,27
28,C5,0.0386,28
29,C6,0.0389,29
30,C7,0.043,30
31,C8,0.4972,31
32,C9,0.0713,32
33,C10,0.0385,33
34,C11,0.0381,34
35,C12,0.0408,35
36,D1,0.1055,36
37,D2,0.9082,37
38,D3,0.9599,38
39,D4,0.0387,39
40,D5,0.0388,40
41,D6,0.0381,41
42,D7,1.465,42
43,D8,2.9513,43
