wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1,0.039,272019.0,359864.0,0.7558938932485606
1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1,0.0383,195502.0,249226.0,0.7844366157624004
2,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.039,316802.0,370882.0,0.8541854282494162
3,control,cmc_SDS_1,SDS,TTAB,2.8666666666666667,,SDS_dilution_1,4.0,143.33333333333334,,,0.0,56.66666666666666,0.0,,5,1,0.0403,277300.0,323779.0,0.8564483799134595
4,control,cmc_SDS_2,SDS,TTAB,4.635725860128543,,SDS_dilution_0,10.0,92.71451720257087,,,0.0,107.28548279742913,0.0,,5,1,0.0393,268716.0,314695.0,0.8538934523904098
5,control,cmc_SDS_3,SDS,TTAB,6.534586896603694,,SDS_dilution_0,10.0,130.6917379320739,,,0.0,69.30826206792611,0.0,,5,1,0.0429,245625.0,286959.0,0.855958516721901
6,control,cmc_SDS_4,SDS,TTAB,8.02931271970357,,SDS_dilution_0,10.0,160.58625439407143,,,0.0,39.41374560592857,0.0,,5,1,0.0394,245757.0,291693.0,0.8425193611091113
7,control,cmc_SDS_5,SDS,TTAB,9.211249154427064,,SDS_dilution_0,10.0,184.22498308854125,,,0.0,15.77501691145875,0.0,,5,1,0.0388,234765.0,290048.0,0.8094005130185349
8,control,cmc_SDS_6,SDS,TTAB,11.318236511391435,,SDS_stock,50.0,45.27294604556574,,,0.0,154.72705395443427,0.0,,5,1,0.0387,252276.0,320673.0,0.7867079548324929
9,control,cmc_SDS_7,SDS,TTAB,15.954351536643529,,SDS_stock,50.0,63.817406146574115,,,0.0,136.18259385342589,0.0,,5,1,0.0378,231050.0,294932.0,0.7834009195339943
10,control,cmc_SDS_8,SDS,TTAB,25.799999999999994,,SDS_stock,50.0,103.19999999999999,,,0.0,96.80000000000001,0.0,,5,1,0.039,229921.0,293124.0,0.7843813539662395
11,control,cmc_TTAB_1,SDS,TTAB,,1.2566666666666668,,,0.0,TTAB_dilution_2,1.5,167.55555555555557,32.44444444444443,0.0,,5,1,0.0385,221229.0,251654.0,0.879099875225508
12,control,cmc_TTAB_2,SDS,TTAB,,2.032172847986583,,,0.0,TTAB_dilution_1,4.0,101.60864239932914,98.39135760067086,0.0,,5,1,0.0387,189262.0,213133.0,0.8879995120417767
13,control,cmc_TTAB_3,SDS,TTAB,,2.8645805349065045,,,0.0,TTAB_dilution_1,4.0,143.22902674532523,56.77097325467477,0.0,,5,1,0.0379,163974.0,180892.0,0.906474581518254
14,control,cmc_TTAB_4,SDS,TTAB,,3.5198266224747057,,,0.0,TTAB_dilution_1,4.0,175.99133112373528,24.00866887626472,0.0,,5,1,0.0379,150404.0,166878.0,0.9012811754695047
15,control,cmc_TTAB_5,SDS,TTAB,,4.037954571184888,,,0.0,TTAB_dilution_0,10.0,80.75909142369775,119.24090857630225,0.0,,5,1,0.0392,137011.0,152031.0,0.9012043596371793
16,control,cmc_TTAB_6,SDS,TTAB,,4.961599028830897,,,0.0,TTAB_dilution_0,10.0,99.23198057661794,100.76801942338206,0.0,,5,1,0.0381,155134.0,181358.0,0.8554020225189956
17,control,cmc_TTAB_7,SDS,TTAB,,6.993942475947224,,,0.0,TTAB_dilution_0,10.0,139.8788495189445,60.12115048105551,0.0,,5,1,0.0384,163958.0,195980.0,0.836605776099602
18,control,cmc_TTAB_8,SDS,TTAB,,11.31,,,0.0,TTAB_stock,50.0,45.24,154.76,0.0,,5,1,0.0384,193824.0,239685.0,0.8086613680455598
19,experiment,experiment,SDS,TTAB,0.01,0.01,SDS_dilution_5,0.1,20.0,TTAB_dilution_5,0.1,20.0,160.0,0.0,,5,1,0.0413,235115.0,267144.0,0.8801058605096876
20,experiment,experiment,SDS,TTAB,0.01,0.06887246539984299,SDS_dilution_5,0.1,20.0,TTAB_dilution_3,0.7000000000000001,19.677847257097994,160.322152742902,0.0,,5,1,0.04,227464.0,257543.0,0.883207852669263
21,experiment,experiment,SDS,TTAB,0.01,0.474341649025257,SDS_dilution_5,0.1,20.0,TTAB_dilution_1,4.0,23.71708245126285,156.28291754873715,0.0,,5,1,0.0389,220070.0,248340.0,0.8861641298220182
22,experiment,experiment,SDS,TTAB,0.01,3.266907881019648,SDS_dilution_5,0.1,20.0,TTAB_stock,50.0,13.067631524078593,166.9323684759214,0.0,,5,1,0.0385,140864.0,152920.0,0.9211613915772953
23,experiment,experiment,SDS,TTAB,0.01,22.5,SDS_dilution_5,0.1,20.0,TTAB_stock,50.0,90.0,90.0,0.0,,5,1,0.0417,188886.0,232444.0,0.8126086283147769
24,experiment,experiment,SDS,TTAB,0.06887246539984299,0.01,SDS_dilution_3,0.7000000000000001,19.677847257097994,TTAB_dilution_5,0.1,20.0,160.322152742902,0.0,,5,1,0.0391,230702.0,260894.0,0.8842748395900251
25,experiment,experiment,SDS,TTAB,0.06887246539984299,0.06887246539984299,SDS_dilution_3,0.7000000000000001,19.677847257097994,TTAB_dilution_3,0.7000000000000001,19.677847257097994,160.644305485804,0.0,,5,1,0.0803,204678.0,233874.0,0.8751635496036327
26,experiment,experiment,SDS,TTAB,0.06887246539984299,0.474341649025257,SDS_dilution_3,0.7000000000000001,19.677847257097994,TTAB_dilution_1,4.0,23.71708245126285,156.60507029163915,0.0,,5,1,0.0433,211483.0,241276.0,0.8765190072779722
27,experiment,experiment,SDS,TTAB,0.06887246539984299,3.266907881019648,SDS_dilution_3,0.7000000000000001,19.677847257097994,TTAB_stock,50.0,13.067631524078593,167.2545212188234,0.0,,5,1,0.0403,155298.0,177094.0,0.87692411939422
28,experiment,experiment,SDS,TTAB,0.06887246539984299,22.5,SDS_dilution_3,0.7000000000000001,19.677847257097994,TTAB_stock,50.0,90.0,90.322152742902,0.0,,5,1,0.0392,180681.0,220892.0,0.8179608134291871
