,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,A1,272019.0,359864.0,0,0.7558938932485606
1,A2,195502.0,249226.0,1,0.7844366157624004
2,A3,316802.0,370882.0,2,0.8541854282494162
3,A4,277300.0,323779.0,3,0.8564483799134595
4,A5,268716.0,314695.0,4,0.8538934523904098
5,A6,245625.0,286959.0,5,0.855958516721901
6,A7,245757.0,291693.0,6,0.8425193611091113
7,A8,234765.0,290048.0,7,0.8094005130185349
8,A9,252276.0,320673.0,8,0.7867079548324929
9,A10,231050.0,294932.0,9,0.7834009195339943
10,A11,229921.0,293124.0,10,0.7843813539662395
11,A12,221229.0,251654.0,11,0.879099875225508
12,B1,189262.0,213133.0,12,0.8879995120417767
13,B2,163974.0,180892.0,13,0.906474581518254
14,B3,150404.0,166878.0,14,0.9012811754695047
15,B4,137011.0,152031.0,15,0.9012043596371793
16,B5,155134.0,181358.0,16,0.8554020225189956
17,B6,163958.0,195980.0,17,0.836605776099602
18,B7,193824.0,239685.0,18,0.8086613680455598
19,B8,235115.0,267144.0,19,0.8801058605096876
20,B9,227464.0,257543.0,20,0.883207852669263
21,B10,220070.0,248340.0,21,0.8861641298220182
22,B11,140864.0,152920.0,22,0.9211613915772953
23,B12,188886.0,232444.0,23,0.8126086283147769
24,C1,230702.0,260894.0,24,0.8842748395900251
25,C2,204678.0,233874.0,25,0.8751635496036327
26,C3,211483.0,241276.0,26,0.8765190072779722
27,C4,155298.0,177094.0,27,0.87692411939422
28,C5,180681.0,220892.0,28,0.8179608134291871
29,C6,225798.0,257207.0,29,0.8778843499593713
30,C7,228307.0,262481.0,30,0.869803909616315
31,C8,81780.0,96734.0,31,0.8454111274215891
32,C9,135850.0,157577.0,32,0.862118202529557
33,C10,203425.0,253999.0,33,0.8008889798778736
34,C11,182530.0,204893.0,34,0.890855226874515
35,C12,152541.0,168402.0,35,0.9058146577831617
36,D1,108829.0,125410.0,36,0.867785663025277
37,D2,50192.0,70509.0,37,0.7118523876384575
38,D3,37835.0,49729.0,38,0.7608236642602908
39,D4,235705.0,300491.0,39,0.7843995327647084
40,D5,235385.0,299430.0,40,0.7861102761914304
41,D6,242408.0,309794.0,41,0.7824812617416735
42,D7,49457.0,66096.0,42,0.7482601065117405
43,D8,112093.0,171514.0,43,0.6535501475098243
