,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,C5,68306.0,87059.0,28,0.784594355551982
1,C6,35967.0,47458.0,29,0.7578701167347971
2,C7,181277.0,218860.0,30,0.8282783514575528
3,C8,167579.0,195300.0,31,0.8580593958013313
4,C9,48280.0,68249.0,32,0.707409632375566
5,C10,22940.0,28582.0,33,0.8026030368763557
6,C11,213239.0,270874.0,34,0.7872257950190864
7,C12,32788.0,43643.0,35,0.751277409893912
8,D1,72734.0,95398.0,36,0.7624268852596491
9,D2,253721.0,290877.0,37,0.8722621589194058
10,D3,87738.0,119466.0,38,0.7344181608156296
11,D4,25611.0,33583.0,39,0.7626179912455707
12,D5,75500.0,93600.0,40,0.8066239316239316
13,D6,190331.0,245109.0,41,0.7765157542154715
