,well_position,turbidity_600,wellplate_index
0,A1,0.0411,0
1,A2,0.0379,1
2,A3,0.0388,2
3,A4,0.0393,3
4,A5,0.0393,4
5,A6,0.0382,5
6,A7,0.0387,6
7,A8,0.0391,7
8,A9,0.0408,8
9,A10,0.0377,9
10,A11,0.0384,10
11,A12,0.038,11
12,B1,0.0387,12
13,B2,0.0378,13
14,B3,0.0378,14
15,B4,1.5906,15
16,B5,0.0466,16
17,B6,0.0382,17
18,B7,0.0387,18
19,B8,0.0406,19
20,B9,0.0401,20
21,B10,0.038,21
22,B11,0.0428,22
23,B12,0.0381,23
24,C1,0.0391,24
25,C2,0.0795,25
26,C3,0.0431,26
27,C4,0.061,27
28,C5,0.0393,28
29,C6,0.0393,29
30,C7,0.043,30
31,C8,0.4479,31
32,C9,0.0726,32
33,C10,0.0383,33
34,C11,0.0384,34
35,C12,0.0405,35
36,D1,0.0988,36
37,D2,0.754,37
38,D3,1.0075,38
39,D4,0.0387,39
40,D5,0.0383,40
41,D6,0.0382,41
42,D7,1.2242,42
43,D8,2.9722,43
