Surfactant1,Surfactant2,Ratio1,Ratio2,Run
SDS,NaC,0.8,0.2,1
SDS,NaC,0.2,0.8,1
SDS,NaC,0.05,0.95,1
SDS,NaC,0.5,0.5,1
CAPB,CHAPS,0.2,0.8,2
DTAB,CAPB,0.5,0.5,2
CAPB,CHAPS,0.05,0.95,2
CAPB,CHAPS,0.5,0.5,0
NaDC,CAPB,0.8,0.2,3
NaDC,NaC,0.5,0.5,3
NaDC,NaC,0.2,0.8,3
NaDC,NaC,0.05,0.95,3
NaDC,CHAPS,0.8,0.2,4
SDS,NaDC,0.8,0.2,4
SDS,NaDC,0.2,0.8,4
SDS,NaDC,0.95,0.05,4
TTAB,CHAPS,0.8,0.2,5
DTAB,TTAB,0.5,0.5,5
TTAB,CHAPS,0.05,0.95,5
DTAB,TTAB,0.95,0.05,5
CTAB,TTAB,0.2,0.8,6
CTAB,CAPB,0.95,0.05,6
CTAB,CAPB,0.2,0.8,6
CTAB,TTAB,0.95,0.05,0
CTAB,CHAPS,0.2,0.8,7
DTAB,CHAPS,0.05,0.95,7
CTAB,DTAB,0.5,0.5,7
CTAB,DTAB,0.8,0.2,7
DTAB,CAPB,0.05,0.95,8
DTAB,TTAB,0.8,0.2,8
CTAB,TTAB,0.8,0.2,9
SDS,NaC,0.95,0.05,8
