volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_s,trials_count,status,measurement_count,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_post_asp_air_vol,hardware_parameters_pre_asp_air_vol,experiment_type,experiment_folder,experiment_timestamp,liquid_name,hardware_parameters_post_retract_wait_time,hardware_parameters_blowout_vol,hardware_parameters_dispense_wait_time,hardware_parameters_asp_disp_cycles,hardware_parameters_retract_speed,hardware_parameters_overaspirate_vol
0.025,25.0,0.0251133333333331,25.113333333333188,1.2000000000031708,1.3490391236849948,22.017554079927503,19,success,67,0.0045,13,8,0.4,0.078,0.166,calibration,run_1769015967_continuous,1769015967,water,,,,,,
0.02,20.0,0.0199600000000007,19.960000000000733,2.199999999997076,2.981324438265021,22.628878140077,7,success,24,0.003,13,8,0.4,0.078,0.166,calibration,run_1769015967_continuous,1769015967,water,,,,,,
0.015,15.0,0.0155133333333338,15.51333333333389,4.22222222222729,4.126378645184353,21.43520569996908,3,success,7,0.0037982456140363,13,8,0.4,0.078,0.166,calibration,run_1769015967_continuous,1769015967,water,,,,,,
0.01,10.0,0.009813333333334,9.813333333334027,4.800000000002597,6.311905432986417,20.54530806001276,38,success,76,0.0025,13,8,0.4,0.078,0.166,calibration,run_1769015967_continuous,1769015967,water,,,,,,
0.005,5.0,0.0051222222222199,5.122222222219956,12.222222222243792,100.0,22.71035216686626,61,partial_success,76,0.0025,13,8,0.4,0.078,0.166,calibration,run_1769015967_continuous,1769015967,water,,,,,,
0.025,25.0,0.0250060000000001,25.006000000000128,0.6960000000023558,0.989146251421372,27.762462260015308,25,success,100,0.0041,14,11,2.7,0.05,0.236,calibration,run_1769025613_2s_baselines,1769025613,water,,,,,,
0.02,20.0,0.0202700000000017,20.270000000001787,1.5500000000057654,1.1778328945583247,26.986680499929932,3,success,7,0.0042923076923076,14,11,2.7,0.05,0.236,calibration,run_1769025613_2s_baselines,1769025613,water,,,,,,
0.015,15.0,0.0152039999999988,15.203999999998883,1.519999999999207,1.4361845897399503,25.642588660027837,3,success,7,0.0033476007677525,14,11,2.7,0.05,0.236,calibration,run_1769025613_2s_baselines,1769025613,water,,,,,,
0.01,10.0,0.010068,10.068000000000056,2.6799999999975905,2.9484518329043032,25.71857792017981,3,success,7,0.0026796064400742,14,11,2.7,0.05,0.236,calibration,run_1769025613_2s_baselines,1769025613,water,,,,,,
0.005,5.0,0.0050840000000004,5.084000000000444,3.280000000013102,3.609778047832024,23.251322959922256,25,success,43,0.0014,14,11,2.7,0.044,0.014,calibration,run_1769025613_2s_baselines,1769025613,water,,,,,,
