trial_id,strategy,liquid,volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_mean_s,composite_score,quality_overall,measurement_count,accuracy_quality,precision_quality,time_quality,meets_accuracy_threshold,meets_precision_threshold,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_dispense_wait_time,hardware_parameters_retract_speed,hardware_parameters_blowout_vol,hardware_parameters_post_asp_air_vol,tolerance_accuracy_pct,tolerance_precision_pct
trial_1,screening,water,0.05,50.0,0.04499129346117415,44.99129346117415,10.017413077651707,100.0,23.330579566691693,1.452421929168955,outside_tolerance,0,,,,False,False,0.005132929980754852,16,14,0.9100431799888611,0.26149865984916687,14.323761224746704,0.03655060231685638,0.020392718911170962,0,3.0
trial_2,screening,water,0.05,50.0,0.044083704510765376,44.08370451076537,11.832590978469254,100.0,23.196729699964635,1.8712861661467182,outside_tolerance,0,,,,False,False,0.003289668986108154,11,10,1.2166957687586546,1.5025681629776955,5.057724988088012,0.18795699384063483,0.07706798538565636,0,3.0
trial_3,screening,water,0.05,50.0,0.04103315671705208,41.03315671705208,17.933686565895847,100.0,21.980090799974278,1.9321359753534164,outside_tolerance,0,,,,False,False,0.0009555800934322178,19,17,0.0036186370998620987,1.4066540338099003,1.8598279654979706,0.05513205546885729,0.052993999607861046,0,3.0
trial_4,screening,water,0.05,50.0,0.047431532818938436,47.431532818938436,5.1369343621231325,1.517636129805005,21.060215466694597,0.7952855464742216,partial_tolerance,0,,,,False,False,0.007496376349590718,8,5,1.8727559987455606,0.6650948170572519,10.961748152971268,0.11937548741698266,0.046420203149318696,0,3.0
trial_5,screening,water,0.05,50.0,0.046539911800564625,46.539911800564624,6.920176398870756,1.7262633458174157,22.132050166721456,0.8456459509080329,partial_tolerance,0,,,,False,False,0.006057524154894054,17,11,1.6443808116018772,0.9889514353126287,11.954907761886716,0.08586102034896613,0.06974538145586849,0,3.0
trial_6,calibration,water,0.05,50.0,0.04705865919410293,47.05865919410293,5.882681611794144,0.0,20.790958199999295,0.9999700196573822,partial_tolerance,0,,,,False,False,0.007496376349590718,8,5,1.8727559987455606,0.6650948170572519,10.961748152971268,0.11937548741698266,0.046420203149318696,0,3.0
trial_7,calibration,water,0.05,50.0,0.051393643128886474,51.393643128886474,2.7872862577729416,0.0,22.599157399963588,0.9398782342953689,within_tolerance,0,,,,False,False,0.01193771715548779,8,5,1.8727559987455606,0.6650948170572519,10.961748152971268,0.11937548741698266,0.046420203149318696,0,3.0
trial_8,optimization,water,0.05,50.0,0.04860419184186022,48.60419184186022,2.7916163162795686,0.900848879127396,21.899270999943838,0.6583801399300604,within_tolerance,0,,,,False,False,0.008581012392483246,10,5,2.0,0.8611735963446009,12.370788566781052,0.09387715233890781,0.06344314041623374,0,3.0
trial_9,optimization,water,0.05,50.0,0.05064502434263256,50.64502434263256,1.2900486852651105,1.409273016279146,21.3321681333861,0.4740184101593583,within_tolerance,0,,,,False,False,0.010840512638442087,13,7,1.8506858004966864,0.7297565859815737,11.719261323461268,0.12799315161723798,0.057406367242529524,0,3.0
trial_10,optimization,water,0.05,50.0,0.05276200908516561,52.76200908516561,5.524018170331213,1.9957816443938563,20.775885966722853,0.8622084296061068,partial_tolerance,0,,,,False,False,0.01251426903195028,9,5,2.0,0.8814226685736588,10.621937078283064,0.13366493138805796,0.06385579280255901,0,3.0
trial_11,optimization,water,0.05,50.0,0.05059213744298879,50.592137442988786,1.184274885977568,0.6222578321509543,21.953755766657803,0.35352604450524794,within_tolerance,0,,,,False,False,0.010153601931094618,15,6,1.9265432335730461,0.9067512805470627,10.228824742182422,0.14052901601010084,0.06784537525023156,0,3.0
trial_12,calibration,water,0.025,25.0,0.029850084893956536,29.850084893956538,19.400339575826138,100.0,21.17235280002933,1.9450462069486028,outside_tolerance,0,,,,False,False,0.010153601931094618,15,6,1.9265432335730461,0.9067512805470627,10.228824742182422,0.14052901601010084,0.06784537525023156,0,3.0
trial_13,calibration,water,0.025,25.0,0.024059365518806945,24.059365518806946,3.7625379247722273,0.0,19.400708099943586,0.9727811325824952,partial_tolerance,0,,,,False,False,0.004553517037138083,15,6,1.9265432335730461,0.9067512805470627,10.228824742182422,0.14052901601010084,0.06784537525023156,0,3.0
trial_14,inherited,water,0.025,25.0,0.025448111729360918,25.448111729360917,1.792446917443666,1.320181816013097,20.662891733343713,0.5436417008201696,within_tolerance,0,,,,False,False,0.005463185181560604,15,6,1.9265432335730461,0.9067512805470627,10.228824742182422,0.14052901601010084,0.06784537525023156,0,3.0
trial_15,calibration,water,0.01,10.0,0.018244333381658682,18.24433338165868,82.44333381658682,100.0,20.5944002000615,2.2686480006668717,outside_tolerance,0,,,,False,False,0.010153601931094618,15,6,1.9265432335730461,0.9067512805470627,10.228824742182422,0.14052901601010084,0.06784537525023156,0,5.0
trial_16,calibration,water,0.01,10.0,0.009489273854838373,9.489273854838373,5.107261451616271,0.0,22.00623119994998,0.9745458979066807,partial_tolerance,0,,,,False,False,0.0014092685494359377,15,6,1.9265432335730461,0.9067512805470627,10.228824742182422,0.14052901601010084,0.06784537525023156,0,5.0
trial_17,inherited,water,0.01,10.0,0.009988683533838279,9.988683533838278,0.11316466161721134,1.3707017253770448,19.393922266666777,0.18561901174744067,within_tolerance,0,,,,False,False,0.0019193689852287062,15,6,1.9265432335730461,0.9067512805470627,10.228824742182422,0.14052901601010084,0.06784537525023156,0,5.0
