trial_id,strategy,liquid,volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_mean_s,composite_score,quality_overall,measurement_count,meets_accuracy_threshold,meets_precision_threshold,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_post_retract_wait_time,hardware_parameters_post_asp_air_vol,hardware_parameters_pre_asp_air_vol,tolerance_accuracy_pct,tolerance_precision_pct
trial_1,screening,agar_water,0.05,50.0,0.053273927392739166,53.27392739273917,6.547854785478327,0.5689982655519056,55.11409853336712,0.7087412148491229,partial_tolerance,3,False,True,0.0063,15,30,2.8000000000000003,5.4,0.059000000000000004,0.024,0,3.0
trial_2,screening,agar_water,0.05,50.0,0.03900990099009955,39.00990099009955,21.980198019800902,100.0,57.584100199863315,2.2534806008347292,outside_tolerance,1,False,False,0.003,33,12,17.400000000000002,5.0,0.029,0.183,0,3.0
trial_3,screening,agar_water,0.05,50.0,0.05683168316831805,56.83168316831805,13.66336633663609,100.0,36.39679729985073,2.1120747115949867,outside_tolerance,1,False,False,0.0007,11,20,9.600000000000001,0.7000000000000001,0.018000000000000002,0.112,0,3.0
trial_4,screening,agar_water,0.05,50.0,0.05271947194719449,52.71947194719449,6.099009900988712,5.924214217478866,75.31339283318569,1.238261026124845,outside_tolerance,3,False,False,0.005,22,19,26.0,9.1,0.099,0.253,0,3.0
trial_5,screening,agar_water,0.05,50.0,0.02465346534653348,24.65346534653348,50.69306930693305,100.0,58.01197619969025,2.4933732539989677,outside_tolerance,1,False,False,0.004200000000000001,8,7,26.700000000000003,7.800000000000001,0.07100000000000001,0.145,0,3.0
trial_6,screening,agar_water,0.05,50.0,0.048085808580857994,48.08580858085799,3.8283828382840213,2.765029111666172,114.00095196673647,1.2478914252089504,partial_tolerance,3,False,True,0.0018000000000000002,24,32,12.200000000000001,2.5,0.041,0.28600000000000003,0,3.0
trial_7,screening,agar_water,0.05,50.0,0.041980198019802635,41.980198019802636,16.039603960394736,100.0,48.35771650029346,2.172167741188735,outside_tolerance,1,False,False,0.0019,19,15,20.400000000000002,3.1,0.001,0.066,0,3.0
trial_8,screening,agar_water,0.05,50.0,0.0575049504950481,57.5049504950481,15.009900990096192,100.0,56.80177449993789,2.191551171653094,outside_tolerance,1,False,False,0.0071,28,25,4.0,6.5,0.082,0.225,0,3.0
trial_9,screening,agar_water,0.05,50.0,0.039405940594059025,39.405940594059025,21.188118811881957,100.0,39.79544010013342,2.1874439675271,outside_tolerance,1,False,False,0.0066,10,13,13.5,4.1000000000000005,0.088,0.121,0,3.0
trial_10,screening,agar_water,0.05,50.0,0.06673267326732774,66.73267326732774,33.46534653465547,100.0,80.83190449979156,2.428719226641763,outside_tolerance,1,False,False,0.0024000000000000002,22,27,29.8,6.2,0.02,0.281,0,3.0
trial_11,calibration,agar_water,0.05,50.0,0.050891089108910124,50.89108910891012,1.7821782178202432,0.0,40.30672260001302,0.8719795043760759,within_tolerance,1,True,True,0.0063,15,30,2.8000000000000003,5.4,0.059000000000000004,0.024,0,3.0
trial_12,calibration,agar_water,0.05,50.0,0.050237623762377344,50.237623762377346,0.47524752475468224,0.0,44.00316959992051,0.7100435686336927,within_tolerance,1,True,True,0.003908910891089879,15,30,2.8000000000000003,5.4,0.059000000000000004,0.024,0,3.0
trial_13,optimization,agar_water,0.05,50.0,0.05190759075907594,51.90759075907594,4.475247524751591,4.3312158118117665,54.86890019988641,1.1200889538616263,outside_tolerance,3,False,False,0.0053,17,32,5.2,3.9000000000000004,0.056,0.088,0,3.0
trial_14,optimization,agar_water,0.05,50.0,0.051551155115511005,51.55115511551101,3.1023102310219994,1.2197540898373642,40.541083499944456,0.7393000186764422,partial_tolerance,3,False,True,0.004200000000000001,15,18,7.1000000000000005,5.6000000000000005,0.052000000000000005,0.10300000000000001,0,3.0
trial_15,optimization,agar_water,0.05,50.0,0.0344554455445533,34.4554455445533,31.089108910893405,100.0,34.25527059985325,2.253240481383001,outside_tolerance,1,False,False,0.0019,20,12,9.200000000000001,2.1,0.049,0.11900000000000001,0,3.0
trial_16,optimization,agar_water,0.05,50.0,0.06558415841584034,65.58415841584034,31.16831683168067,100.0,42.65954569960013,2.2819288416796373,outside_tolerance,1,False,False,0.0066,14,19,4.6000000000000005,6.9,0.051000000000000004,0.155,0,3.0
