trial_id,strategy,liquid,volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_mean_s,composite_score,quality_overall,measurement_count,meets_accuracy_threshold,meets_precision_threshold,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_blowout_vol,hardware_parameters_pre_asp_air_vol,tolerance_accuracy_pct,tolerance_precision_pct
trial_1,screening,agar_water_refill,0.05,50.0,0.045617161716172944,45.617161716172944,8.765676567654122,0.43481346263301823,43.854686866514385,0.6677207878037067,partial_tolerance,3,False,True,0.006500000000000001,19,30,0.0,0.006,0.101,0,3.0
trial_2,screening,agar_water_refill,0.05,50.0,0.04198019801980087,41.98019801980087,16.03960396039826,100.0,47.950370700098574,2.170809921854782,outside_tolerance,1,False,False,0.0018000000000000002,24,10,16.6,0.2,0.292,0,3.0
trial_3,screening,agar_water_refill,0.05,50.0,0.04495049504950484,44.95049504950484,10.09900990099033,100.0,65.91919459984638,1.6801477542064978,outside_tolerance,2,False,False,0.003,12,23,7.800000000000001,0.264,0.17300000000000001,0,3.0
trial_4,screening,agar_water_refill,0.05,50.0,0.04481188118811867,44.81188118811867,10.37623762376267,100.0,47.23281165002845,1.6202191959150962,outside_tolerance,2,False,False,0.0039000000000000003,28,16,13.8,0.092,0.069,0,3.0
trial_5,screening,agar_water_refill,0.05,50.0,0.046508250825081754,46.50825082508175,6.9834983498364975,3.180597305681588,38.28669643324489,1.0656289192798156,outside_tolerance,3,False,False,0.0048000000000000004,15,6,11.700000000000001,0.133,0.12,0,3.0
trial_6,screening,agar_water_refill,0.05,50.0,0.04455445544554448,44.554455445544484,10.89108910891104,100.0,201.64300760021433,2.6393015638496027,outside_tolerance,1,False,False,0.0019,30,34,5.2,0.261,0.23600000000000002,0,3.0
trial_7,screening,agar_water_refill,0.05,50.0,0.04194059405940633,41.94059405940633,16.11881188118734,100.0,47.91480050003156,2.1713654644853877,outside_tolerance,1,False,False,0.0007,16,12,18.900000000000002,0.17500000000000002,0.193,0,3.0
trial_8,screening,agar_water_refill,0.05,50.0,0.051867986798680224,51.86798679868022,3.7359735973604424,2.1779115974413186,42.27041303350901,0.9101502481025018,partial_tolerance,3,False,True,0.0074,22,27,3.0,0.068,0.013000000000000001,0,3.0
trial_9,screening,agar_water_refill,0.05,50.0,0.04783498349834986,47.83498349834986,4.330033003300292,2.543215253537949,40.78406143343697,0.971135510183103,partial_tolerance,3,False,True,0.007,11,16,7.4,0.217,0.056,0,3.0
trial_10,screening,agar_water_refill,0.05,50.0,0.04207920792079074,42.07920792079074,15.84158415841852,100.0,51.17386920005083,2.1798696419441566,outside_tolerance,1,False,False,0.0004,26,24,10.9,0.028,0.151,0,3.0
trial_11,calibration,agar_water_refill,0.05,50.0,0.046415841584159984,46.415841584159985,7.1683168316800385,0.0,43.388906999956816,1.0801047268652182,partial_tolerance,1,False,True,0.006500000000000001,19,30,0.0,0.006,0.101,0,3.0
trial_12,calibration,agar_water_refill,0.05,50.0,0.05029702970297091,50.29702970297091,0.5940594059418158,0.0,43.587855000048876,0.724500770792405,within_tolerance,1,True,True,0.01158415841584002,19,30,0.0,0.006,0.101,0,3.0
trial_13,optimization,agar_water_refill,0.05,50.0,0.04986798679867972,49.86798679867972,1.8481848184825298,2.389906950037815,33.01430776684234,0.5435690379145184,within_tolerance,3,True,True,0.0073,18,8,5.300000000000001,0.126,0.02,0,3.0
trial_14,optimization,agar_water_refill,0.05,50.0,0.049062706270627504,49.0627062706275,2.1386138613863857,2.2258153485952934,37.107336533255875,0.7446053410427348,within_tolerance,3,True,True,0.0058000000000000005,11,17,2.6,0.138,0.0,0,3.0
trial_15,optimization,agar_water_refill,0.05,50.0,0.05177557755775435,51.77557755775435,3.5511551155087,0.4991527779294583,30.112725366527837,0.5882585627107858,partial_tolerance,3,False,True,0.0086,16,14,2.0,0.134,0.018000000000000002,0,3.0
trial_16,optimization,agar_water_refill,0.05,50.0,0.04971617161716205,49.71617161716205,0.5676567656759159,0.6225902330138525,29.628897099910926,0.2782155979254667,within_tolerance,3,True,True,0.0064,10,5,4.5,0.139,0.0,0,3.0
trial_17,optimization,agar_water_refill,0.05,50.0,0.04848184818481922,48.48184818481922,3.0363036303615587,2.419245152336695,30.097820966504514,0.9038425623447044,partial_tolerance,3,False,True,0.0057,10,5,3.3000000000000003,0.176,0.105,0,3.0
trial_18,optimization,agar_water_refill,0.05,50.0,0.05046204620462128,50.46204620462128,0.9240924092425532,0.792959820338929,32.23376886655266,0.3628181875106714,within_tolerance,3,True,True,0.007,14,14,5.5,0.097,0.0,0,3.0
trial_19,optimization,agar_water_refill,0.05,50.0,0.05056105610560997,50.56105610560997,1.5181518151800208,1.4697559072045665,31.575147233127307,0.49982477014051063,within_tolerance,3,True,True,0.008,10,5,6.0,0.114,0.0,0,3.0
trial_20,calibration,agar_water_refill,0.025,25.0,0.02794059405940695,27.94059405940695,11.762376237627798,100.0,29.793417299631983,2.0738848057870953,outside_tolerance,1,False,False,0.0064,10,5,4.5,0.139,0.0,0,3.0
trial_21,calibration,agar_water_refill,0.025,25.0,0.024693069306931534,24.693069306931534,1.2277227722738704,0.0,28.964339600410312,0.7602441683045504,within_tolerance,1,True,True,0.0027094059405930507,10,5,4.5,0.139,0.0,0,3.0
