volume,replicate,mass,start_time,end_time,aspirate_speed,dispense_speed,aspirate_wait_time,dispense_wait_time,retract_speed,pre_asp_air_vol,post_asp_air_vol,blowout_vol
0.01,0,0.006499999999999062,2025-06-25T17:29:29.925299,2025-06-25T17:30:24.397531,10,9,22.48070776462555,5.529413223266602,8.707314252853394,0.07656387686729432,0.03626673817634583,0.09827781915664674
0.01,1,0.006999999999999673,2025-06-25T17:30:24.397531,2025-06-25T17:31:09.198870,10,9,22.48070776462555,5.529413223266602,8.707314252853394,0.07656387686729432,0.03626673817634583,0.09827781915664674
0.01,2,0.006700000000000372,2025-06-25T17:31:09.199335,2025-06-25T17:31:53.999450,10,9,22.48070776462555,5.529413223266602,8.707314252853394,0.07656387686729432,0.03626673817634583,0.09827781915664674
0.01,0,0.007799999999999585,2025-06-25T17:31:54.020277,2025-06-25T17:32:53.589246,30,20,12.393135940656066,19.006759207695723,6.180459061637521,0.00910657523199916,0.07015586374327541,0.04915549391880632
0.01,1,0.00820000000000043,2025-06-25T17:32:53.589782,2025-06-25T17:33:53.387384,30,20,12.393135940656066,19.006759207695723,6.180459061637521,0.00910657523199916,0.07015586374327541,0.04915549391880632
0.01,2,0.0039999999999995595,2025-06-25T17:33:53.387384,2025-06-25T17:34:49.796000,30,20,12.393135940656066,19.006759207695723,6.180459061637521,0.00910657523199916,0.07015586374327541,0.04915549391880632
0.01,0,0.006899999999999906,2025-06-25T17:34:49.817563,2025-06-25T17:35:50.792369,21,15,28.394931005313993,12.44194284081459,2.857728261500597,0.02780016027390957,0.021137000154703857,0.005674139223992825
0.01,1,0.008399999999999963,2025-06-25T17:35:50.793093,2025-06-25T17:36:50.396790,21,15,28.394931005313993,12.44194284081459,2.857728261500597,0.02780016027390957,0.021137000154703857,0.005674139223992825
0.01,2,0.007699999999999818,2025-06-25T17:36:50.396790,2025-06-25T17:37:50.388238,21,15,28.394931005313993,12.44194284081459,2.857728261500597,0.02780016027390957,0.021137000154703857,0.005674139223992825
0.01,0,0.00709999999999944,2025-06-25T17:37:50.412751,2025-06-25T17:38:46.387639,14,26,4.259606637060642,27.09417167119682,14.326068742200732,0.05800161259248853,0.08489191569387913,0.053429100010544066
0.01,1,0.008199999999998653,2025-06-25T17:38:46.387639,2025-06-25T17:39:43.796982,14,26,4.259606637060642,27.09417167119682,14.326068742200732,0.05800161259248853,0.08489191569387913,0.053429100010544066
0.01,2,0.007399999999998741,2025-06-25T17:39:43.796982,2025-06-25T17:40:40.395009,14,26,4.259606637060642,27.09417167119682,14.326068742200732,0.05800161259248853,0.08489191569387913,0.053429100010544066
