volume_target,volume_measured,average_deviation,variability,time,aspirate_speed,dispense_speed,aspirate_wait_time,dispense_wait_time,retract_speed,blowout_vol,post_asp_air_vol,overaspirate_vol,pre_asp_air_vol,volume_ml,volume_ul
50,50.62,1.24,0.6,19.71068935,8,14,0.00E+00,3.5437186,10.26081338,0.016158898,0.010581106,0.005361365,0,0.05,50
100,99.82,1.7,1.784672486,19.98980742,8,14,0.00E+00,3.5437186,10.26081338,0.016158898,0.010581106,0.003301365,0,0.1,100
200,198.32,0.96,0.831988705,21.9107307,8,14,0.00E+00,3.5437186,10.26081338,0.016158898,0.010581106,0.008821216,0,0.2,200
500,498.5,0.58,0.6822821,24.47588391,8,14,0.00E+00,3.5437186,10.26081338,0.016158898,0.010581106,0.011801365,0,0.5,500
800,799.98,0.4025,0.548728125,28.14697008,8,14,0.00E+00,3.5437186,10.26081338,0.016158898,0.010581106,0.012141365,0,0.8,800
10,10.3,3.4,4.5,18.87540131,8,7,1.498713851,0.368627548,8.707314253,0.153127754,0.036266738,0.00540528,0,0.01,10
25,24.9,1.04,1.015992823,18.43851514,8,7,1.498713851,0.368627548,8.707314253,0.153127754,0.036266738,0.003353998,0,0.025,25
5,4.6,8,4.347826087,18.14357014,8,7,1.498713851,0.368627548,8.707314253,0.153127754,0.036266738,0.003208626,0,0.005,5
25,23.3,6.8,0.959685827,18.19742202,14,8,1.408423966,0,6.788045995,0.022377712,0.097804599,0.055897546,0.055897546,0.025,25
10,10,0,2.121320344,18.99127788,14,8,1.408423966,0,6.788045995,0,0.097804599,0.055897546,0.055897546,0.01,10
5,5.133333333,2.666666667,1.124708317,17.79873993,14,8,1.408423966,0,6.788045995,0,0.097804599,0.055897546,0.055897546,0.005,5
