aspirate_speed,dispense_speed,aspirate_wait_time,pre_asp_air_vol,overaspirate_vol,volume_target,dispense_wait_time,post_retract_wait_time,volume_measured,time,average_deviation,variability,blowout_vol,post_asp_air_vol
10.0,12.0,1.7,0.0,0.003633333,10.0,1.5,0.0,9.96,14.95830408,2.0,2.978392967,0.0,0.0
10.0,12.0,1.7,0.0,0.0050005360346123,20.0,1.5,0.0,20.333333333333314,15.03832995,1.452444445,1.28848664,0.0,0.0
10.0,12.0,1.7,0.0,0.004252381,25.0,1.5,0.0,25.29466667,15.07834288,1.178666667,0.443533477,0.0,0.0
10.0,12.0,1.7,0.0,0.0072537387102095,50.0,1.5,0.0,50.99333333333315,15.26082222,0.24,0.218564468,0.0,0.0
14.0,11.0,0.9,0.117,0.00321,75.0,1.5,0.0,74.26,16.35783044,0.986666667,0.805724498,0.0,0.0
14.0,11.0,0.9,0.117,0.0054528310045596,100.0,1.5,0.0,100.53333333333232,16.59725022,0.48,0.463558889,0.0,0.0
14.0,11.0,0.9,0.117,0.0047972510547066,150.0,1.5,0.0,149.63333333333276,17.221752995,0.4925,0.308988943375,0.0,0.0
14.0,11.0,0.9,0.117,0.0024,180.0,1.5,0.0,179.1,17.59645466,0.5,0.216246976,0.0,0.0
8.0,14.0,0.0,0.0,0.015092507565954181,200.0,3.5437186,0.0,198.03333333333248,21.9107307,0.96,0.831988705,0.016158898,0.010581106
8.0,14.0,0.0,0.0,0.0179299461311659,500.0,3.5437186,0.0,500.8999999999984,24.47588391,0.58,0.6822821,0.016158898,0.010581106
8.0,14.0,0.0,0.0,0.0320312060903845,800.0,3.5437186,0.0,802.7999999999995,28.14697008,0.4025,0.548728125,0.016158898,0.010581106
8.0,14.0,0.0,0.0,0.0149950460376298,900.0,3.5437186,0.0,885.5333333333325,28.14697008,0.4025,0.548728125,0.016158898,0.010581106
