volume_target,volume_measured,average_deviation,variability,time,aspirate_speed,dispense_speed,aspirate_wait_time,dispense_wait_time,retract_speed,blowout_vol,post_asp_air_vol,overaspirate_vol,pre_asp_air_vol,volume_ml,volume_ul
50,50.62,1.24,0.6,19.71068935,8,14,0.00E+00,3.5437186,10.26081338,0.016158898,0.010581106,0.005361365,0,0.05,50
100,99.82,1.7,1.784672486,19.98980742,8,14,0.00E+00,3.5437186,10.26081338,0.016158898,0.010581106,0.003301365,0,0.1,100
200,198.32,0.96,0.831988705,21.9107307,8,14,0.00E+00,3.5437186,10.26081338,0.016158898,0.010581106,0.008821216,0,0.2,200
500,498.5,0.58,0.6822821,24.47588391,8,14,0.00E+00,3.5437186,10.26081338,0.016158898,0.010581106,0.011801365,0,0.5,500
800,799.98,0.4025,0.548728125,28.14697008,8,14,0.00E+00,3.5437186,10.26081338,0.016158898,0.010581106,0.012141365,0,0.8,800
25,25.2,0.8,0.561195858,22.35226948,10,11,0.2,3.153314065,10,0,0.033,0.0045,0.047,0.025,25
20,20.28,1.8,1.612961266,21.4757071,10,11,0.2,3.153314065,10,0,0.033,0.0058125,0.047,0.02,20
15,14.5,3.333333333,1.090440572,20.3560359,10,11,0.2,3.153314065,10,0,0.033,0.004766667,0.047,0.015,15
10,9.64,3.6,2.802750225,17.05352458,10,11,0.2,3.153314065,10,0,0.033,0.005,0.047,0.01,10
5,5.22,4.4,2.841455359,21.42404624,10,11,0.2,3.153314065,10,0,0.033,0.007,0.047,0.005,5
