percentile,k_selected,heuristic_hits,heuristic_total,precision,precision_low95,precision_high95,recall,f1
0.02,10,3,30,0.3,0.1078,0.6032,0.1,0.15
0.03,15,5,30,0.3333,0.1518,0.5829,0.1667,0.2222
0.04,20,5,30,0.25,0.1119,0.4687,0.1667,0.2
0.05,25,7,30,0.28,0.1428,0.4758,0.2333,0.2545
0.06,30,7,30,0.2333,0.1179,0.4093,0.2333,0.2333
0.07,35,7,30,0.2,0.1004,0.3589,0.2333,0.2154
0.08,40,8,30,0.2,0.105,0.3476,0.2667,0.2286
0.09,45,8,30,0.1778,0.0929,0.3133,0.2667,0.2133
0.1,50,11,30,0.22,0.1275,0.3524,0.3667,0.275
0.12,60,12,30,0.2,0.1183,0.3178,0.4,0.2667
0.15,76,13,30,0.1711,0.1028,0.271,0.4333,0.2453
0.18,91,20,30,0.2198,0.147,0.3152,0.6667,0.3306
0.2,101,22,30,0.2178,0.1485,0.3078,0.7333,0.3359
0.25,127,23,30,0.1811,0.1238,0.2571,0.7667,0.293
0.3,152,24,30,0.1579,0.1085,0.2242,0.8,0.2637
