segment,rank,id,score_total,polymer_specificity,capability_fit,impact,multi_objective,parameter_space,title,device_like,bio_complex,strong_polymer,workflow_candidate
top,1,https://openalex.org/W2515175659,0.7442,0.875,1.0,0.6974390462812156,0.75,0.16666666666666666,Extremely Stretchable Strain Sensors Based on Conductive Self‐Healing Dynamic Cross‐Links Hydrogels for Human‐Motion Detection,1,1,1,0
top,2,https://openalex.org/W2301143381,0.6378,0.375,1.0,0.6939015798345264,0.5,0.5,Highly Efficient Perovskite Nanocrystal Light‐Emitting Diodes Enabled by a Universal Crosslinking Method,1,1,0,0
top,3,https://openalex.org/W2604114973,0.5009,0.625,1.0,0.29799879395223317,0.0,0.0,Real Time-NIR/MIR-Photorheology: A Versatile Tool for the <i>in Situ</i> Characterization of Photopolymerization Reactions,0,0,1,1
top,4,https://openalex.org/W3202067245,0.4897,1.0,0.5,0.3479542796114217,0.25,0.0,Alkyne-Palladium(II)-Catalyzed Living Polymerization of Isocyanides: An Exploration of Diverse Structures and Functions,1,1,1,0
top,5,https://openalex.org/W2419201800,0.4726,0.625,0.8333333333333334,0.3312431927741727,0.0,0.3333333333333333,Immobilization of Carbon Dots in Molecularly Imprinted Microgels for Optical Sensing of Glucose at Physiological pH,1,1,1,0
top,6,https://openalex.org/W2796583922,0.4724,0.375,1.0,0.2741311462741108,0.25,0.0,Perovskite‐Initiated Photopolymerization for Singly Dispersed Luminescent Nanocomposites,1,1,0,0
top,7,https://openalex.org/W2887455427,0.4522,0.875,0.6666666666666666,0.22298562729890675,0.0,0.0,Photoinitiated Polymerization-Induced Self-Assembly in the Presence of Surfactants Enables Membrane Protein Incorporation into Vesicles,0,1,1,1
top,8,https://openalex.org/W2800352778,0.4457,1.0,0.5,0.3047872029535183,0.0,0.0,Assembly of PEG Microgels into Porous Cell‐Instructive 3D Scaffolds via Thiol‐Ene Click Chemistry,1,1,1,0
top,9,https://openalex.org/W2107135187,0.4417,1.0,0.5,0.27800027136354827,0.0,0.0,"Ultrasoft, highly deformable microgels",0,0,1,1
top,10,https://openalex.org/W2891235400,0.4323,0.375,1.0,0.20146904979151412,0.0,0.16666666666666666,Room Temperature Synthesis of Self-Assembled AB/B and ABC/BC Blends by Photoinitiated Polymerization-Induced Self-Assembly (Photo-PISA) in Water,1,1,0,0
top,11,https://openalex.org/W2299003658,0.4195,1.0,0.5,0.13001640952122037,0.0,0.0,Macromolecular design and application using Mn<sub>2</sub>(<scp>CO</scp>)<sub>10</sub>‐based visible light photoinitiating systems,1,0,1,0
top,12,https://openalex.org/W2586870981,0.4137,0.75,0.5,0.25783099916814933,0.25,0.0,Graphene Oxide-Polymer Composite Langmuir Films Constructed by Interfacial Thiol-Ene Photopolymerization,1,0,1,0
top,13,https://openalex.org/W2966226355,0.4126,0.5,0.6666666666666666,0.3341305569094018,0.25,0.0,Highly efficient dandelion-like near-infrared light photoinitiator for free radical and thiol-ene photopolymerizations,0,0,1,1
