measurement_id,trial_id,strategy,liquid,liquid_name,volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,duration_s,timestamp,replicate_id,deviation_individual_pct,experiment_type,experiment_folder,experiment_timestamp,aspirate_speed,dispense_speed,overaspirate_vol,aspirate_wait_time,dispense_wait_time,pre_asp_air_vol,post_asp_air_vol,blowout_vol,retract_speed,asp_disp_cycles,post_retract_wait_time
measurement_1769016098231571_1,trial_1,screening,water,water,0.025,25.0,0.0228000000000001,22.800000000000157,22.52171269990504,1769016098.2315717,1,8.799999999999391,calibration,run_1769015967_continuous,1769015967,20.0,7.0,0.002,3.7,1.5,0.25,0.037,0.0,5.0,,0.0
measurement_1769016124040889_1,trial_1,screening,water,water,0.025,25.0,0.0225666666666679,22.56666666666796,25.804975599981844,1769016124.0408895,1,9.73333333332818,calibration,run_1769015967_continuous,1769015967,20.0,7.0,0.002,3.7,1.5,0.25,0.037,0.0,5.0,,0.0
measurement_1769016148527211_1,trial_1,screening,water,water,0.025,25.0,0.0227000000000003,22.700000000000387,24.490843000356108,1769016148.5272112,1,9.19999999999846,calibration,run_1769015967_continuous,1769015967,20.0,7.0,0.002,3.7,1.5,0.25,0.037,0.0,5.0,,0.0
measurement_1769016174848352_1,trial_1,screening,water,water,0.025,25.0,0.0226000000000006,22.60000000000062,26.32343479990959,1769016174.848353,1,9.599999999997529,calibration,run_1769015967_continuous,1769015967,20.0,7.0,0.002,3.7,1.5,0.25,0.037,0.0,5.0,,0.0
measurement_1769016200818426_1,trial_1,screening,water,water,0.025,25.0,0.0223999999999993,22.39999999999931,25.956018399912864,1769016200.8184266,1,10.400000000002768,calibration,run_1769015967_continuous,1769015967,20.0,7.0,0.002,3.7,1.5,0.25,0.037,0.0,5.0,,0.0
measurement_1769016236810028_1,trial_2,screening,water,water,0.025,25.0,0.0248666666666679,24.866666666667925,35.9704597000964,1769016236.8100283,1,0.5333333333283063,calibration,run_1769015967_continuous,1769015967,11.0,23.0,0.005,5.6000000000000005,1.5,0.121,0.072,0.0,5.0,,0.0
measurement_1769016270610979_1,trial_2,screening,water,water,0.025,25.0,0.0261999999999975,26.19999999999756,33.79995879996568,1769016270.610979,1,4.799999999990229,calibration,run_1769015967_continuous,1769015967,11.0,23.0,0.005,5.6000000000000005,1.5,0.121,0.072,0.0,5.0,,0.0
measurement_1769016304611725_1,trial_2,screening,water,water,0.025,25.0,0.0254000000000012,25.4000000000012,33.995810700114816,1769016304.611725,1,1.600000000004792,calibration,run_1769015967_continuous,1769015967,11.0,23.0,0.005,5.6000000000000005,1.5,0.121,0.072,0.0,5.0,,0.0
measurement_1769016339439239_1,trial_2,screening,water,water,0.025,25.0,0.0259,25.900000000000038,34.81665479997173,1769016339.4392393,1,3.600000000000131,calibration,run_1769015967_continuous,1769015967,11.0,23.0,0.005,5.6000000000000005,1.5,0.121,0.072,0.0,5.0,,0.0
measurement_1769016374556971_1,trial_2,screening,water,water,0.025,25.0,0.0262333333333337,26.23333333333377,35.11611850000918,1769016374.5569715,1,4.933333333335094,calibration,run_1769015967_continuous,1769015967,11.0,23.0,0.005,5.6000000000000005,1.5,0.121,0.072,0.0,5.0,,0.0
measurement_1769016399441861_1,trial_3,screening,water,water,0.025,25.0,0.0279333333333333,27.93333333333337,24.863403599709272,1769016399.4418612,1,11.733333333333457,calibration,run_1769015967_continuous,1769015967,23.0,11.0,0.005,2.3000000000000003,1.5,0.017,0.095,0.0,5.0,,0.0
measurement_1769016437016506_1,trial_4,screening,water,water,0.025,25.0,0.0200500000000012,20.050000000001237,37.55944119999185,1769016437.016507,1,19.799999999995077,calibration,run_1769015967_continuous,1769015967,16.0,19.0,0.001,9.2,1.5,0.222,0.009,0.0,5.0,,0.0
measurement_1769016478418203_1,trial_5,screening,water,water,0.025,25.0,0.0196000000000005,19.600000000000502,41.384616299998015,1769016478.4182036,1,21.599999999997983,calibration,run_1769015967_continuous,1769015967,24.0,20.0,0.0,7.9,1.5,0.273,0.023,0.0,5.0,,0.0
measurement_1769016500796608_1,trial_6,screening,water,water,0.025,25.0,0.0252666666666669,25.266666666666996,22.37417189963162,1769016500.796608,1,1.0666666666679647,calibration,run_1769015967_continuous,1769015967,15.0,9.0,0.0045,1.0,1.5,0.107,0.087,0.0,5.0,,0.0
measurement_1769016520407495_1,trial_6,screening,water,water,0.025,25.0,0.0257666666666658,25.766666666665827,19.60877180006355,1769016520.4074955,1,3.066666666663304,calibration,run_1769015967_continuous,1769015967,15.0,9.0,0.0045,1.0,1.5,0.107,0.087,0.0,5.0,,0.0
measurement_1769016543601571_1,trial_6,screening,water,water,0.025,25.0,0.0263333333333335,26.33333333333354,23.189432700164616,1769016543.601571,1,5.333333333334162,calibration,run_1769015967_continuous,1769015967,15.0,9.0,0.0045,1.0,1.5,0.107,0.087,0.0,5.0,,0.0
measurement_1769016564997006_1,trial_6,screening,water,water,0.025,25.0,0.0256666666666696,25.666666666669613,21.39522079983726,1769016564.997006,1,2.666666666678447,calibration,run_1769015967_continuous,1769015967,15.0,9.0,0.0045,1.0,1.5,0.107,0.087,0.0,5.0,,0.0
measurement_1769016585821108_1,trial_6,screening,water,water,0.025,25.0,0.0250000000000003,25.000000000000355,20.80958899995312,1769016585.8211088,1,1.4155343563970746e-12,calibration,run_1769015967_continuous,1769015967,15.0,9.0,0.0045,1.0,1.5,0.107,0.087,0.0,5.0,,0.0
measurement_1769016614418830_1,trial_7,screening,water,water,0.025,25.0,0.0276999999999993,27.69999999999939,28.581940199714158,1769016614.41883,1,10.799999999997562,calibration,run_1769015967_continuous,1769015967,19.0,16.0,0.005,6.800000000000001,1.5,0.061,0.058,0.0,5.0,,0.0
