vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,SDS,large_vial_rack,0,8.787999999999997,True,open,20_mL,large_vial_rack,0
1,NaC,large_vial_rack,1,3.5899999999999963,True,open,20_mL,large_vial_rack,1
2,water_large,large_vial_rack,2,12.587999999999992,True,open,20_mL,large_vial_rack,2
10,substock_1,main_8mL_rack,0,0.49928000000000006,True,open,8_mL,main_8mL_rack,0
11,substock_2,main_8mL_rack,1,0.5018100000000002,True,open,8_mL,main_8mL_rack,1
12,substock_3,main_8mL_rack,2,0.5007499999999993,True,open,8_mL,main_8mL_rack,2
13,substock_4,main_8mL_rack,3,0.5028199999999993,True,open,8_mL,main_8mL_rack,3
14,substock_5,main_8mL_rack,4,0.49866,True,open,8_mL,main_8mL_rack,4
15,substock_6,main_8mL_rack,5,0.5028099999999996,True,open,8_mL,main_8mL_rack,5
16,substock_7,main_8mL_rack,6,0.49902000000000013,True,open,8_mL,main_8mL_rack,6
17,substock_8,main_8mL_rack,7,0.5028,True,open,8_mL,main_8mL_rack,7
20,water,main_8mL_rack,45,7.5,True,open,8_mL,main_8mL_rack,45
21,pyrene_DMSO,main_8mL_rack,47,3.2999999999999745,False,none,8_mL,main_8mL_rack,47
