vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,CAPB,main_8mL_rack,12,2.586,True,open,8_mL,main_8mL_rack,12
1,NaDC,large_vial_rack,0,2.756000000000001,True,open,20_mL,large_vial_rack,0
2,NaC,large_vial_rack,1,3.331999999999999,True,open,20_mL,large_vial_rack,1
22,water_large,large_vial_rack,2,13.788999999999993,True,open,20_mL,large_vial_rack,2
10,substock_1,main_8mL_rack,0,0.4989100000000005,True,open,8_mL,main_8mL_rack,0
11,substock_2,main_8mL_rack,1,0.5028199999999993,True,open,8_mL,main_8mL_rack,1
12,substock_3,main_8mL_rack,2,0.4983200000000002,True,open,8_mL,main_8mL_rack,2
13,substock_4,main_8mL_rack,3,0.5018100000000002,True,open,8_mL,main_8mL_rack,3
14,substock_5,main_8mL_rack,4,0.5018800000000004,True,open,8_mL,main_8mL_rack,4
15,substock_6,main_8mL_rack,5,0.5018100000000002,True,open,8_mL,main_8mL_rack,5
16,substock_7,main_8mL_rack,6,0.49969999999999837,True,open,8_mL,main_8mL_rack,6
17,substock_8,main_8mL_rack,7,0.5018100000000002,True,open,8_mL,main_8mL_rack,7
20,water,main_8mL_rack,45,7.5,True,open,8_mL,main_8mL_rack,45
21,pyrene_DMSO,main_8mL_rack,47,1.6000000000000085,False,none,8_mL,main_8mL_rack,47
