vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,CAPB,large_vial_rack,0,12.558,False,none,20_mL,large_vial_rack,0
1,CHAPS,large_vial_rack,1,0.0,False,none,20_mL,large_vial_rack,1
10,substock_1,main_8mL_rack,0,0.5018100000000002,True,open,8_mL,main_8mL_rack,0
11,substock_2,main_8mL_rack,1,0.5018100000000002,True,open,8_mL,main_8mL_rack,1
12,substock_3,main_8mL_rack,2,0.5018100000000002,True,open,8_mL,main_8mL_rack,2
13,substock_4,main_8mL_rack,3,0.0,True,open,8_mL,main_8mL_rack,3
14,substock_5,main_8mL_rack,4,0.0,True,open,8_mL,main_8mL_rack,4
15,substock_6,main_8mL_rack,5,0.0,True,open,8_mL,main_8mL_rack,5
30,water,main_8mL_rack,45,7.5,True,open,8_mL,main_8mL_rack,45
31,pyrene_DMSO,small_vial_rack,0,0.0999999999999994,False,none,1_mL,small_vial_rack,0
