vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index,notes
<<<<<<< HEAD
0,new_vial_1,main_8mL_rack,1,0.0,True,closed,8_mL,main_8mL_rack,1,
1,liquid_source_0,main_8mL_rack,2,4.005000000000001,True,open,8_mL,main_8mL_rack,2,
4,measurement_vial_4,main_8mL_rack,0,0.0,True,open,8_mL,main_8mL_rack,0,
=======
0,water,main_8mL_rack,0,4.0,True,open,8_mL,main_8mL_rack,0,
1,liquid_source_0,clamp,0,4.99,True,open,8_mL,main_8mL_rack,2,
2,ethanol,main_8mL_rack,1,4.0,True,open,8_mL,main_8mL_rack,1,
3,TFA,main_8mL_rack,2,1.0,True,open,8_mL,main_8mL_rack,2,
>>>>>>> 8a768077b17046fd822621130f68594cd9b75249
5,liquid_source_2,large_vial_rack,2,10.000000000000002,False,open,20_mL,large_vial_rack,2,
6,liquid_source_1,large_vial_rack,0,8.000000000000004,False,open,20_mL,large_vial_rack,0,
