start_time,action,sample_index,note
300,create_samples_and_measure,sample_1,5_min
600,create_samples_and_measure,sample_1,10_min
900,create_samples_and_measure,sample_1,15_min
1200,create_samples_and_measure,sample_1,20_min
1800,create_samples_and_measure,sample_1,30_min
2400,create_samples_and_measure,sample_1,40_min
3600,create_samples_and_measure,sample_1,60_min
300,create_samples_and_measure,sample_2,5_min
600,create_samples_and_measure,sample_2,10_min
900,create_samples_and_measure,sample_2,15_min
1200,create_samples_and_measure,sample_2,20_min
1800,create_samples_and_measure,sample_2,30_min
2400,create_samples_and_measure,sample_2,40_min
3600,create_samples_and_measure,sample_2,60_min
300,create_samples_and_measure,sample_3,5_min
600,create_samples_and_measure,sample_3,10_min
900,create_samples_and_measure,sample_3,15_min
1200,create_samples_and_measure,sample_3,20_min
1800,create_samples_and_measure,sample_3,30_min
2400,create_samples_and_measure,sample_3,40_min
3600,create_samples_and_measure,sample_3,60_min
,,,
