Well,water_dye,water,glycerol_dye,glycerol,ethanol_dye,ethanol
0,50,0,0,0,0,0
1,100,0,0,0,0,0
2,150,0,0,0,0,0
3,200,0,0,0,0,0
4,0,0,0,0,50,0
5,0,0,0,0,100,0
6,0,0,0,0,150,0
7,0,0,0,0,200,0
8,0,0,50,0,0,0
9,0,0,100,0,0,0
10,0,0,150,0,0,0
11,0,0,200,0,0,0
12,50,0,0,0,0,0
13,100,0,0,0,0,0
14,150,0,0,0,0,0
15,200,0,0,0,0,0
16,0,0,0,0,50,0
17,0,0,0,0,100,0
18,0,0,0,0,150,0
19,0,0,0,0,200,0
20,0,0,50,0,0,0
21,0,0,100,0,0,0
22,0,0,150,0,0,0
23,0,0,200,0,0,0
24,50,0,0,0,0,0
25,100,0,0,0,0,0
26,150,0,0,0,0,0
27,200,0,0,0,0,0
28,0,0,0,0,50,0
29,0,0,0,0,100,0
30,0,0,0,0,150,0
31,0,0,0,0,200,0
32,0,0,50,0,0,0
33,0,0,100,0,0,0
34,0,0,150,0,0,0
35,0,0,200,0,0,0
36,0,50,0,0,0,0
37,0,100,0,0,0,0
38,0,150,0,0,0,0
39,0,200,0,0,0,0
40,0,0,0,0,0,50
41,0,0,0,0,0,100
42,0,0,0,0,0,150
43,0,0,0,0,0,200
44,0,0,0,50,0,0
45,0,0,0,100,0,0
46,0,0,0,150,0,0
47,0,0,0,200,0,0
