Well,water_dye,water,glycerol_dye,glycerol,ethanol_dye,ethanol
0,70,0,0,0,0,0
1,100,0,0,0,0,0
2,150,0,0,0,0,0
3,0,0,0,0,70,0
4,0,0,0,0,100,0
5,0,0,0,0,150,0
6,0,0,70,0,0,0
7,0,0,100,0,0,0
8,0,0,150,0,0,0
9,70,0,0,0,0,0
10,100,0,0,0,0,0
11,150,0,0,0,0,0
12,0,0,0,0,70,0
13,0,0,0,0,100,0
14,0,0,0,0,150,0
15,0,0,70,0,0,0
16,0,0,100,0,0,0
17,0,0,150,0,0,0
18,70,0,0,0,0,0
19,100,0,0,0,0,0
20,150,0,0,0,0,0
21,0,0,0,0,70,0
22,0,0,0,0,100,0
23,0,0,0,0,150,0
24,0,0,70,0,0,0
25,0,0,100,0,0,0
26,0,0,150,0,0,0
27,0,70,0,0,0,0
28,0,100,0,0,0,0
29,0,150,0,0,0,0
30,0,0,0,0,0,70
31,0,0,0,0,0,100
32,0,0,0,0,0,150
33,0,0,0,70,0,0
34,0,0,0,100,0,0
35,0,0,0,150,0,0
