vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,Rxn_Mixture,main_8mL_rack,24,4.199999999999999,True,open,8_mL,main_8mL_rack,24
1,Reagent_A+B,main_8mL_rack,25,5.79999999999999,False,none,8_mL,main_8mL_rack,25
2,Water,main_8mL_rack,26,0.3999999999999954,False,none,8_mL,main_8mL_rack,26
3,0_min_Reaction,main_8mL_rack,0,1.2999999999999998,True,open,8_mL,main_8mL_rack,0
4,5_min_Reaction,main_8mL_rack,1,1.1,True,open,8_mL,main_8mL_rack,1
5,10_min_Reaction,main_8mL_rack,2,1.1,True,open,8_mL,main_8mL_rack,2
6,15_min_Reaction,main_8mL_rack,3,1.1,True,open,8_mL,main_8mL_rack,3
7,20_min_Reaction,main_8mL_rack,4,1.1,True,open,8_mL,main_8mL_rack,4
8,25_min_Reaction,main_8mL_rack,5,1.1,True,open,8_mL,main_8mL_rack,5
9,45_min_Reaction,main_8mL_rack,6,1.1,True,open,8_mL,main_8mL_rack,6
10,60_min_Reaction,main_8mL_rack,7,1.1,True,open,8_mL,main_8mL_rack,7
