start_time,action,sample_index,sample_set
60,dispense_from_reactor,1_min_Reaction,1
180,measure_samples,1_min_Reaction,1
360,dispense_from_reactor,6_min_Reaction,1
480,measure_samples,6_min_Reaction,1
660,dispense_from_reactor,11_min_Reaction,1
780,measure_samples,11_min_Reaction,1
1200,dispense_from_reactor,20_min_Reaction,1
1320,measure_samples,20_min_Reaction,1
1800,dispense_from_reactor,30_min_Reaction,1
1920,measure_samples,30_min_Reaction,1
2700,dispense_from_reactor,45_min_Reaction,1
2820,measure_samples,45_min_Reaction,1
