vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index,notes
0,Assay_reagent_1,large_vial_rack,0,20.0,False,closed,20_mL,large_vial_rack,0,
1,Assay_reagent_2,large_vial_rack,1,8.3,False,closed,20_mL,large_vial_rack,1,
2,Assay_reagent_3,large_vial_rack,2,8.299999999999997,False,none,20_mL,large_vial_rack,2,
3,COF_1,main_8mL_rack,0,4.700000000000001,True,open,8_mL,main_8mL_rack,0,
4,0_min_Reaction_Set1,main_8mL_rack,1,0,True,open,8_mL,main_8mL_rack,1,
5,5_min_Reaction_Set1,main_8mL_rack,2,0,True,open,8_mL,main_8mL_rack,2,
6,10_min_Reaction_Set1,main_8mL_rack,3,0.0,True,open,8_mL,main_8mL_rack,3,
7,15_min_Reaction_Set1,main_8mL_rack,4,0.0,True,open,8_mL,main_8mL_rack,4,
8,20_min_Reaction_Set1,main_8mL_rack,5,0.0,True,open,8_mL,main_8mL_rack,5,
9,25_min_Reaction_Set1,main_8mL_rack,6,0.0,True,open,8_mL,main_8mL_rack,6,
10,45_min_Reaction_Set1,main_8mL_rack,7,0.0,True,open,8_mL,main_8mL_rack,7,
11,60_min_Reaction_Set1,main_8mL_rack,8,0.0,True,open,8_mL,main_8mL_rack,8,
12,COF_2,main_8mL_rack,12,4.700000000000001,True,open,8_mL,main_8mL_rack,12,
13,0_min_Reaction_Set2,main_8mL_rack,13,0.0,True,open,8_mL,main_8mL_rack,13,
14,5_min_Reaction_Set2,main_8mL_rack,14,0.0,True,open,8_mL,main_8mL_rack,14,
15,10_min_Reaction_Set2,main_8mL_rack,15,0.0,True,open,8_mL,main_8mL_rack,15,
16,15_min_Reaction_Set2,main_8mL_rack,16,0.0,True,open,8_mL,main_8mL_rack,16,
17,20_min_Reaction_Set2,main_8mL_rack,17,0.0,True,open,8_mL,main_8mL_rack,17,
18,25_min_Reaction_Set2,main_8mL_rack,18,0.0,True,open,8_mL,main_8mL_rack,18,
19,45_min_Reaction_Set2,main_8mL_rack,19,0.0,True,open,8_mL,main_8mL_rack,19,
20,60_min_Reaction_Set2,main_8mL_rack,20,0.0,True,open,8_mL,main_8mL_rack,20,
21,COF_3,main_8mL_rack,24,4.8500000000000005,True,open,8_mL,main_8mL_rack,24,
22,0_min_Reaction_Set2,main_8mL_rack,25,0.0,True,open,8_mL,main_8mL_rack,25,
23,5_min_Reaction_Set2,main_8mL_rack,26,0.0,True,open,8_mL,main_8mL_rack,26,
24,10_min_Reaction_Set2,main_8mL_rack,27,0.0,True,open,8_mL,main_8mL_rack,27,
25,15_min_Reaction_Set2,main_8mL_rack,28,0.0,True,open,8_mL,main_8mL_rack,28,
26,20_min_Reaction_Set2,main_8mL_rack,29,0.0,True,open,8_mL,main_8mL_rack,29,
27,25_min_Reaction_Set2,main_8mL_rack,30,0.0,True,open,8_mL,main_8mL_rack,30,
28,45_min_Reaction_Set2,main_8mL_rack,31,0.0,True,open,8_mL,main_8mL_rack,31,
29,60_min_Reaction_Set2,main_8mL_rack,32,0.0,True,open,8_mL,main_8mL_rack,32,
30,water,main_8mL_rack,36,7.0,True,open,8_mL,main_8mL_rack,36,
