vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,surfactant_a,main_8mL_rack,0,5.0,True,open,8_mL,main_8mL_rack,0
1,surfactant_b,main_8mL_rack,1,5.0,True,open,8_mL,main_8mL_rack,1
2,dilution_surfactant_a_0,main_8mL_rack,2,0.0,True,open,8_mL,main_8mL_rack,2
3,dilution_surfactant_a_1,main_8mL_rack,3,0.0,True,open,8_mL,main_8mL_rack,3
4,dilution_surfactant_a_2,main_8mL_rack,4,0.0,True,open,8_mL,main_8mL_rack,4
5,dilution_surfactant_a_3,main_8mL_rack,5,0.0,True,open,8_mL,main_8mL_rack,5
6,dilution_surfactant_a_4,main_8mL_rack,6,0.0,True,open,8_mL,main_8mL_rack,6
7,dilution_surfactant_a_5,main_8mL_rack,7,0.0,True,open,8_mL,main_8mL_rack,7
8,dilution_surfactant_b_0,main_8mL_rack,8,0.0,True,open,8_mL,main_8mL_rack,8
9,dilution_surfactant_b_1,main_8mL_rack,9,0.0,True,open,8_mL,main_8mL_rack,9
10,dilution_surfactant_b_2,main_8mL_rack,10,0.0,True,open,8_mL,main_8mL_rack,10
11,dilution_surfactant_b_3,main_8mL_rack,11,0.0,True,open,8_mL,main_8mL_rack,11
12,dilution_surfactant_b_4,main_8mL_rack,12,0.0,True,open,8_mL,main_8mL_rack,12
13,dilution_surfactant_b_5,main_8mL_rack,13,0.0,True,open,8_mL,main_8mL_rack,13
