vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index,notes
0,SDS_stock,main_8mL_rack,0,5.318532106935691,True,open,8_mL,main_8mL_rack,0,
1,DSS_stock,main_8mL_rack,1,6.474463136821601,True,open,8_mL,main_8mL_rack,1,
2,NaC_stock,main_8mL_rack,2,6.181225958000362,True,open,8_mL,main_8mL_rack,2,
3,water,main_8mL_rack,3,7.635732677668949,True,open,8_mL,main_8mL_rack,3,
4,water_2,main_8mL_rack,4,7.291794898411186,True,open,8_mL,main_8mL_rack,4,
5,pyrene_DMSO,main_8mL_rack,5,4.920000000000062,True,open,8_mL,main_8mL_rack,5,
6,SDS_dilution_0,main_8mL_rack,6,4.478080331990675,True,open,8_mL,main_8mL_rack,6,
7,SDS_dilution_1,main_8mL_rack,7,7.050085417111252,True,open,8_mL,main_8mL_rack,7,
8,SDS_dilution_2,main_8mL_rack,8,6.11963367162542,True,open,8_mL,main_8mL_rack,8,
9,SDS_dilution_3,main_8mL_rack,9,4.159887414427423,True,open,8_mL,main_8mL_rack,9,
10,SDS_dilution_4,main_8mL_rack,10,4.142374598136408,True,open,8_mL,main_8mL_rack,10,
11,SDS_dilution_5,main_8mL_rack,11,6.396381614864185,True,open,8_mL,main_8mL_rack,11,
12,DSS_dilution_0,main_8mL_rack,12,4.772906303680367,True,open,8_mL,main_8mL_rack,12,
13,DSS_dilution_1,main_8mL_rack,13,6.720789290072979,True,open,8_mL,main_8mL_rack,13,
14,DSS_dilution_2,main_8mL_rack,14,4.017467183257751,True,open,8_mL,main_8mL_rack,14,
15,DSS_dilution_3,main_8mL_rack,15,4.217476088359739,True,open,8_mL,main_8mL_rack,15,
16,DSS_dilution_4,main_8mL_rack,16,4.306575343209987,True,open,8_mL,main_8mL_rack,16,
17,DSS_dilution_5,main_8mL_rack,17,4.160758128250695,True,open,8_mL,main_8mL_rack,17,
18,NaC_dilution_0,main_8mL_rack,18,5.3917868487499785,True,open,8_mL,main_8mL_rack,18,
19,NaC_dilution_1,main_8mL_rack,19,7.277095332666353,True,open,8_mL,main_8mL_rack,19,
20,NaC_dilution_2,main_8mL_rack,20,3.908370619490024,True,open,8_mL,main_8mL_rack,20,
21,NaC_dilution_3,main_8mL_rack,21,3.895702715454217,True,open,8_mL,main_8mL_rack,21,
22,NaC_dilution_4,main_8mL_rack,22,4.881535028733413,True,open,8_mL,main_8mL_rack,22,
23,NaC_dilution_5,main_8mL_rack,23,6.9566234927791255,True,open,8_mL,main_8mL_rack,23,
24,SDS_refill,large_vial_rack,0,6.200000000000001,False,open,20_mL,large_vial_rack,0,
25,DSS_refill,large_vial_rack,1,4.055000000000002,False,open,20_mL,large_vial_rack,1,
26,NaC_refill,large_vial_rack,2,4.254999999999999,False,open,20_mL,large_vial_rack,2,
27,NaCl,main_8mL_rack,31,2.03728726590544,True,open,8_mL,main_8mL_rack,31,
