vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index,notes
0,himim_stock,large_vial_rack,0,20.0,False,open,20_mL,large_vial_rack,0,160 mM HmIm aqueous stock
1,zn_stock,large_vial_rack,1,20.0,False,open,20_mL,large_vial_rack,1,40 mM Zn(OAc)2 aqueous stock
2,bsa_stock,large_vial_rack,2,20.0,False,open,20_mL,large_vial_rack,2,10 mg/mL BSA aqueous stock
3,water,large_vial_rack,3,20.0,False,open,20_mL,large_vial_rack,3,DI water for dilution
4,reaction_vial_1,main_8mL_rack,36,0.0,True,open,8_mL,main_8mL_rack,36,
5,reaction_vial_2,main_8mL_rack,37,0.0,True,open,8_mL,main_8mL_rack,37,
6,reaction_vial_3,main_8mL_rack,38,0.0,True,open,8_mL,main_8mL_rack,38,
7,reaction_vial_4,main_8mL_rack,39,0.0,True,open,8_mL,main_8mL_rack,39,
8,reaction_vial_5,main_8mL_rack,40,0.0,True,open,8_mL,main_8mL_rack,40,
9,reaction_vial_6,main_8mL_rack,41,0.0,True,open,8_mL,main_8mL_rack,41,
