,well_position,334_373,334_384
0,A1,403264.0,550659.0
1,A2,326067.0,442570.0
2,A3,662746.0,799850.0
3,A4,379688.0,442871.0
4,A5,370056.0,438824.0
5,A6,391208.0,464253.0
6,A7,309938.0,368961.0
7,A8,230045.0,294707.0
8,A9,519452.0,619105.0
9,A10,392509.0,462619.0
10,A11,303573.0,350098.0
11,A12,438214.0,527110.0
12,B1,262045.0,336650.0
13,B2,388549.0,447581.0
14,B3,347876.0,396880.0
15,B4,289681.0,338183.0
16,B5,415203.0,502697.0
17,B6,301398.0,395236.0
18,B7,651682.0,783856.0
19,B8,451797.0,534869.0
20,B9,470712.0,572515.0
21,B10,82917.0,97977.0
22,B11,211532.0,261403.0
23,B12,486972.0,618773.0
24,C1,373007.0,473210.0
25,C2,245206.0,304407.0
26,C3,316509.0,394235.0
27,C4,38236.0,50406.0
28,C5,349322.0,461542.0
29,C6,242518.0,315299.0
30,C7,363866.0,420348.0
