,well_position,turbidity_600
0,A1,0.0387
1,A2,0.038
2,A3,0.0378
3,A4,0.0378
4,A5,0.0383
5,A6,0.0374
6,A7,0.0381
7,A8,0.038
8,A9,0.0378
9,A10,0.0376
10,A11,0.038
11,A12,0.0382
12,B1,0.0381
13,B2,0.0375
14,B3,0.0375
15,B4,0.038
16,B5,0.0377
17,B6,0.0376
18,B7,0.0379
19,B8,0.0381
20,B9,0.0383
21,B10,0.0371
22,B11,0.0378
23,B12,0.0378
24,C1,0.039
25,C2,0.0376
26,C3,0.0376
27,C4,0.039
28,C5,0.039
29,C6,0.0386
30,C7,0.0373
31,C8,0.0378
32,C9,0.0371
33,C10,0.0384
34,C11,0.0385
35,C12,0.0387
36,D1,0.0387
37,D2,0.0385
38,D3,0.038
39,D4,0.0389
40,D5,0.0376
41,D6,0.0376
42,D7,0.0401
43,D8,0.0456
44,D9,0.0389
45,D10,0.0385
46,D11,0.0387
47,D12,0.0386
48,E1,0.0386
49,E2,0.0374
50,E3,0.0376
51,E4,0.038
52,E5,0.0501
53,E6,0.065
54,E7,0.0448
55,E8,0.04
56,E9,0.0381
57,E10,0.0373
58,E11,0.0374
59,E12,0.038
60,F1,0.0388
61,F2,0.0401
62,F3,0.0469
63,F4,0.304
64,F5,0.0685
65,F6,0.0473
66,F7,0.0383
67,F8,0.0383
68,F9,0.0384
69,F10,0.0382
70,F11,0.0385
71,F12,0.0403
72,G1,0.2676
73,G2,0.6634
74,G3,0.8387
75,G4,0.0383
76,G5,0.0383
77,G6,0.0385
78,G7,0.0385
79,G8,0.0383
80,G9,0.0384
81,G10,0.0572
82,G11,1.1912
83,G12,2.7057
84,H1,0.039
85,H2,0.0387
86,H3,0.0375
