,well_position,334_373,334_384
0,A1,220737.0,279342.0
1,A2,198881.0,251568.0
2,A3,265058.0,299654.0
3,A4,143675.0,160669.0
4,A5,113392.0,130338.0
5,A6,79469.0,92939.0
6,A7,55747.0,68860.0
7,A8,30732.0,37708.0
8,A9,32735.0,39610.0
9,A10,16844.0,19503.0
10,A11,20094.0,24223.0
11,A12,27147.0,34302.0
12,B1,146942.0,163133.0
13,B2,104502.0,118655.0
14,B3,80236.0,94103.0
15,B4,46977.0,55303.0
16,B5,27953.0,33113.0
17,B6,97966.0,143835.0
18,B7,21493.0,26259.0
19,B8,32837.0,40800.0
20,B9,19843.0,23843.0
21,B10,152223.0,171681.0
22,B11,114511.0,128851.0
23,B12,87422.0,101054.0
24,C1,50372.0,57202.0
25,C2,28860.0,35141.0
26,C3,57607.0,76449.0
27,C4,40115.0,56833.0
28,C5,26365.0,32637.0
29,C6,23924.0,29907.0
30,C7,158470.0,183602.0
31,C8,126913.0,144213.0
32,C9,104628.0,119948.0
33,C10,71124.0,83037.0
34,C11,29712.0,35143.0
35,C12,77121.0,93654.0
36,D1,19401.0,22700.0
37,D2,15120.0,16778.0
38,D3,22391.0,26828.0
39,D4,185236.0,222196.0
40,D5,121626.0,153097.0
41,D6,127179.0,150171.0
42,D7,81592.0,97261.0
43,D8,42267.0,52905.0
44,D9,46586.0,57922.0
45,D10,38842.0,53025.0
46,D11,14153.0,15624.0
47,D12,18963.0,22390.0
48,E1,233002.0,286615.0
49,E2,220041.0,274591.0
50,E3,123997.0,163457.0
51,E4,133050.0,169776.0
52,E5,73026.0,94189.0
53,E6,61315.0,82513.0
54,E7,35183.0,44969.0
55,E8,18060.0,21406.0
56,E9,17856.0,22023.0
57,E10,245400.0,306633.0
58,E11,241685.0,303756.0
59,E12,219701.0,274871.0
60,F1,152235.0,194003.0
61,F2,80659.0,103311.0
62,F3,63173.0,84833.0
63,F4,27429.0,34568.0
64,F5,16831.0,18782.0
65,F6,20888.0,26769.0
66,F7,264712.0,334400.0
67,F8,250428.0,315421.0
68,F9,220017.0,275295.0
69,F10,164454.0,206395.0
70,F11,118941.0,152882.0
71,F12,61399.0,81929.0
72,G1,29148.0,35945.0
73,G2,16937.0,19225.0
74,G3,15320.0,18522.0
75,G4,240917.0,299265.0
76,G5,235637.0,293069.0
77,G6,235672.0,296253.0
78,G7,198655.0,251398.0
79,G8,135348.0,173280.0
80,G9,42782.0,54664.0
81,G10,27411.0,34502.0
82,G11,17731.0,21234.0
83,G12,15775.0,19908.0
84,H1,224621.0,282146.0
85,H2,228053.0,288857.0
86,H3,316806.0,358633.0
